employee_id,productivity,hours_worked,age,experience,department,day,quarter,education,designation
813,0.700888203,840,30.1,30,sweing,Tuesday,Quarter3,Bachelor,Senior
591,0.778222222,1080,4.08,0,finishing,Tuesday,Quarter1,Master,Senior
913,0.750176991,5340,29.4,45,sweing,Tuesday,Quarter4,High School,Junior
905,0.811388889,1440,4.6,0,finishing,Tuesday,Quarter4,Master,Senior
372,0.957638889,6000,3.94,0,finishing,Thursday,Quarter4,Master,Lead
1067,0.404144928,5520,15.28,0,sweing,Wednesday,Quarter1,High School,Senior
101,0.750057851,9900,19.31,45,sweing,Tuesday,Quarter1,Master,Senior
635,0.500720126,6360,30.1,23,sweing,Thursday,Quarter1,Bachelor,Junior
1167,0.700246491,4560,23.41,30,sweing,Tuesday,Quarter2,Master,Senior
462,0.900129762,6720,22.52,70,sweing,Tuesday,Quarter4,High School,Junior
802,0.329964879,5400,18.79,0,sweing,Monday,Quarter3,Bachelor,Lead
1055,0.800401961,4080,15.26,50,sweing,Wednesday,Quarter1,Master,Junior
790,0.802243319,600,30.1,63,sweing,Monday,Quarter3,Bachelor,Junior
1184,0.750608,6000,21.82,34,sweing,Wednesday,Quarter2,Bachelor,Senior
228,0.800246753,5670,11.61,50,sweing,Tuesday,Quarter2,Master,Junior
693,1.004888889,1080,4.08,0,finishing,Tuesday,Quarter2,Master,Lead
523,0.971866667,1200,3.94,0,finishing,Saturday,Quarter5,Bachelor,Junior
789,0.864583333,960,4.15,0,finishing,Monday,Quarter3,High School,Lead
399,0.896022727,1800,4.15,0,finishing,Saturday,Quarter4,Master,Senior
67,0.820833333,1920,2.9,0,finishing,Monday,Quarter1,Bachelor,Junior
68,0.804416667,960,3.94,0,finishing,Monday,Quarter1,Bachelor,Junior
494,0.467693269,6240,38.09,0,sweing,Wednesday,Quarter4,Master,Junior
212,0.64998056,9540,12.52,44,sweing,Monday,Quarter2,High School,Junior
13,0.707045902,3660,11.41,50,sweing,Thursday,Quarter1,High School,Senior
987,0.813611111,3360,4.6,0,finishing,Sunday,Quarter1,High School,Senior
644,0.845833333,960,2.9,0,finishing,Saturday,Quarter1,High School,Lead
300,0.852793561,1440,4.15,0,finishing,Sunday,Quarter3,Bachelor,Senior
410,0.651515152,2160,4.3,0,finishing,Saturday,Quarter4,Bachelor,Senior
753,0.800888889,1080,4.08,0,finishing,Saturday,Quarter2,Master,Lead
1098,0.700422,6000,21.82,30,sweing,Saturday,Quarter1,High School,Junior
708,0.6895,960,3.94,0,finishing,Tuesday,Quarter2,Master,Senior
1125,0.500033898,7080,26.82,23,sweing,Sunday,Quarter2,Master,Lead
495,0.437995338,1800,18.79,23,sweing,Wednesday,Quarter4,Bachelor,Senior
992,0.750395513,6240,18.79,34,sweing,Sunday,Quarter1,Master,Senior
558,0.651007071,3960,18.79,26,sweing,Sunday,Quarter1,High School,Senior
443,0.910378788,1800,3.94,0,finishing,Monday,Quarter4,Bachelor,Lead
1117,0.800401961,4080,15.26,63,sweing,Sunday,Quarter2,High School,Senior
775,0.700632768,7080,30.1,0,sweing,Sunday,Quarter3,High School,Senior
440,0.963699495,2160,4.3,0,finishing,Monday,Quarter4,Master,Lead
274,0.650130952,10080,22.52,26,sweing,Thursday,Quarter3,Bachelor,Junior
645,0.800401961,4080,15.26,63,sweing,Saturday,Quarter1,Master,Senior
238,0.35020649,10170,22.4,23,sweing,Tuesday,Quarter2,Bachelor,Junior
555,0.750450658,1440,15.26,45,sweing,Sunday,Quarter1,High School,Junior
3,0.800570492,3660,11.41,50,sweing,Thursday,Quarter1,Master,Junior
7,0.755166667,960,3.94,0,finishing,Thursday,Quarter1,Master,Lead
312,0.650299575,10260,14.89,44,sweing,Sunday,Quarter3,Master,Junior
1143,0.700422,6000,21.82,30,sweing,Monday,Quarter2,Bachelor,Lead
416,0.261174242,1440,3.94,0,finishing,Saturday,Quarter4,High School,Senior
1049,0.930416667,960,4.6,0,finishing,Wednesday,Quarter1,Master,Lead
216,0.24625,1440,3.94,0,finishing,Monday,Quarter2,Bachelor,Senior
480,0.977555556,1800,2.9,0,finishing,Wednesday,Quarter4,Master,Lead
28,0.800318644,7080,26.16,63,sweing,Saturday,Quarter1,Master,Junior
1163,0.750608,6000,21.82,34,sweing,Tuesday,Quarter2,Bachelor,Junior
585,0.976979167,960,4.15,0,finishing,Tuesday,Quarter1,High School,Junior
359,0.800415742,10500,22.94,60,sweing,Wednesday,Quarter3,Bachelor,Senior
1153,0.900061017,7080,26.82,75,sweing,Tuesday,Quarter2,High School,Junior
454,0.646306818,1440,3.94,0,finishing,Monday,Quarter4,Bachelor,Senior
452,0.70061442,10440,29.12,40,sweing,Monday,Quarter4,High School,Junior
731,1.100483918,0,22.52,138,sweing,Thursday,Quarter2,Master,Junior
534,0.900537069,6660,22.52,88,sweing,Saturday,Quarter5,Master,Senior
1047,0.30277037,5400,15.28,0,sweing,Tuesday,Quarter1,Bachelor,Junior
1025,0.342361111,3360,4.6,0,finishing,Monday,Quarter1,High School,Senior
257,0.332359307,1260,3.94,0,finishing,Wednesday,Quarter2,Bachelor,Junior
292,0.675568182,1440,2.9,0,finishing,Saturday,Quarter3,High School,Junior
26,0.800322936,6540,28.08,50,sweing,Saturday,Quarter1,High School,Junior
337,0.35021836,6120,15.26,23,sweing,Monday,Quarter3,High School,Senior
851,0.75065101,3960,18.79,56,sweing,Thursday,Quarter3,Bachelor,Lead
48,0.850345133,6780,25.9,45,sweing,Sunday,Quarter1,High School,Lead
319,0.977272727,5040,4.3,0,finishing,Monday,Quarter3,Bachelor,Lead
107,0.850502311,10620,26.16,75,sweing,Wednesday,Quarter1,High School,Lead
794,0.75065101,3960,18.79,0,sweing,Monday,Quarter3,High School,Senior
56,0.75024303,6600,19.87,45,sweing,Sunday,Quarter1,Master,Junior
1115,0.85007069,6960,26.82,65,sweing,Sunday,Quarter2,Bachelor,Senior
214,0.640577652,1440,4.15,0,finishing,Monday,Quarter2,High School,Junior
121,0.8,10530,28.08,69,sweing,Wednesday,Quarter1,High School,Junior
561,0.314166667,1200,2.9,0,finishing,Sunday,Quarter1,Master,Lead
969,0.799982853,840,30.1,38,sweing,Saturday,Quarter4,Bachelor,Junior
621,0.999995238,6720,22.52,113,sweing,Thursday,Quarter1,High School,Lead
73,0.800246011,7200,11.61,50,sweing,Monday,Quarter1,Bachelor,Junior
603,0.966759259,2160,3.94,0,finishing,Wednesday,Quarter1,High School,Senior
744,0.535677966,7080,30.1,0,sweing,Thursday,Quarter2,High School,Junior
957,0.5565625,960,3.9,0,finishing,Thursday,Quarter4,Bachelor,Senior
414,0.578314394,1440,3.94,0,finishing,Saturday,Quarter4,Bachelor,Junior
887,0.9025,1080,5.13,0,finishing,Monday,Quarter4,High School,Lead
781,0.598627451,7140,30.1,0,sweing,Sunday,Quarter3,High School,Lead
740,0.656666667,960,3.94,0,finishing,Thursday,Quarter2,Bachelor,Senior
1035,0.750395513,6240,18.79,34,sweing,Tuesday,Quarter1,Bachelor,Junior
424,0.850223776,10530,22.94,81,sweing,Sunday,Quarter4,High School,Senior
487,0.800489676,6780,22.52,50,sweing,Wednesday,Quarter4,Bachelor,Lead
326,0.750517565,10170,22.94,38,sweing,Monday,Quarter3,Bachelor,Lead
919,0.5046875,960,2.9,0,finishing,Tuesday,Quarter4,Master,Lead
317,0.403242161,10350,49.1,24,sweing,Sunday,Quarter3,Bachelor,Junior
618,0.350706422,6060,30.1,23,sweing,Wednesday,Quarter1,Master,Junior
823,0.302117347,0,18.22,0,sweing,Tuesday,Quarter3,Bachelor,Junior
527,0.971866667,1080,4.08,0,finishing,Saturday,Quarter5,Master,Senior
807,0.9025,1080,5.13,0,finishing,Tuesday,Quarter3,Master,Lead
426,0.800513307,10350,22.52,55,sweing,Sunday,Quarter4,Master,Junior
714,1.000344928,0,22.52,90,sweing,Wednesday,Quarter2,Bachelor,Senior
61,0.345833333,960,4.15,0,finishing,Sunday,Quarter1,Bachelor,Senior
941,0.440375,960,3.9,0,finishing,Wednesday,Quarter4,Bachelor,Junior
93,0.800594466,10350,28.08,50,sweing,Tuesday,Quarter1,High School,Senior
853,0.710125,3600,5.13,0,finishing,Thursday,Quarter3,Bachelor,Senior
1100,0.664875,960,3.94,0,finishing,Saturday,Quarter1,Master,Lead
352,0.362666667,2700,4.15,0,finishing,Tuesday,Quarter3,High School,Senior
928,0.800808642,4080,30.1,50,sweing,Wednesday,Quarter4,High School,Junior
281,0.974621212,1440,3.94,0,finishing,Saturday,Quarter3,Master,Senior
683,0.799963218,6960,29.12,50,sweing,Monday,Quarter2,Bachelor,Lead
662,0.891555556,1080,4.08,0,finishing,Sunday,Quarter2,High School,Junior
360,0.800020563,10080,22.52,75,sweing,Wednesday,Quarter3,High School,Lead
804,1.000230409,6840,22.52,113,sweing,Tuesday,Quarter3,Bachelor,Senior
546,0.950438596,2280,3.94,0,finishing,Sunday,Quarter1,Bachelor,Lead
669,0.700618234,7020,30.1,0,sweing,Sunday,Quarter2,High School,Senior
507,0.85695,1200,3.94,0,finishing,Thursday,Quarter5,High School,Senior
723,0.750406233,7380,30.1,56,sweing,Wednesday,Quarter2,High School,Junior
183,0.8,10530,28.08,63,sweing,Sunday,Quarter2,Bachelor,Senior
926,0.899555556,1800,4.6,0,finishing,Wednesday,Quarter4,Bachelor,Senior
742,0.601944444,2160,3.94,0,finishing,Thursday,Quarter2,Bachelor,Junior
111,0.827186544,4440,3.94,0,finishing,Wednesday,Quarter1,Master,Senior
371,0.470769231,2700,4.15,0,finishing,Wednesday,Quarter3,Bachelor,Lead
240,0.908080808,2700,4.3,0,finishing,Wednesday,Quarter2,Master,Senior
944,0.921703704,6300,4.6,0,finishing,Thursday,Quarter4,Master,Junior
1016,0.750797009,2880,18.79,34,sweing,Monday,Quarter1,Master,Junior
592,0.750593103,6960,29.12,34,sweing,Tuesday,Quarter1,Master,Junior
1193,0.628333333,960,2.9,0,finishing,Wednesday,Quarter2,Bachelor,Junior
721,0.800401961,4080,15.26,50,sweing,Wednesday,Quarter2,Bachelor,Junior
262,0.884261364,1440,3.94,0,finishing,Thursday,Quarter3,Bachelor,Senior
478,1.000230409,6840,22.52,90,sweing,Wednesday,Quarter4,Bachelor,Junior
1162,0.758229167,960,2.9,0,finishing,Tuesday,Quarter2,High School,Lead
340,0.800128721,10170,25.9,50,sweing,Tuesday,Quarter3,Bachelor,Senior
666,0.799963218,6960,29.12,50,sweing,Sunday,Quarter2,Bachelor,Senior
550,0.8865,1200,3.94,0,finishing,Sunday,Quarter1,Master,Senior
1009,0.800579532,6840,26.66,65,sweing,Monday,Quarter1,Master,Senior
184,0.8,10530,28.08,38,sweing,Sunday,Quarter2,High School,Lead
138,0.800273829,9900,19.87,50,sweing,Thursday,Quarter2,Master,Lead
1158,0.821666667,1800,2.9,0,finishing,Tuesday,Quarter2,High School,Junior
761,0.602,7200,30.1,0,sweing,Saturday,Quarter2,High School,Lead
1113,0.857916667,960,3.94,0,finishing,Sunday,Quarter2,Master,Lead
81,0.676666667,960,3.94,0,finishing,Monday,Quarter1,Master,Lead
486,0.800534483,6960,20.79,88,sweing,Wednesday,Quarter4,Bachelor,Junior
788,0.891555556,1080,4.08,0,finishing,Monday,Quarter3,Bachelor,Lead
758,0.750392157,7140,30.1,56,sweing,Saturday,Quarter2,Bachelor,Lead
30,0.800148649,7080,11.61,50,sweing,Saturday,Quarter1,Master,Junior
482,0.902222222,1800,3.94,0,finishing,Wednesday,Quarter4,Bachelor,Lead
166,0.673245283,9540,12.52,38,sweing,Saturday,Quarter2,High School,Lead
249,0.800313433,2970,11.61,50,sweing,Wednesday,Quarter2,Bachelor,Lead
308,0.700094156,10080,22.52,40,sweing,Sunday,Quarter3,Master,Junior
347,0.700170388,10260,14.89,50,sweing,Tuesday,Quarter3,High School,Lead
335,0.538399621,1440,3.94,0,finishing,Monday,Quarter3,Master,Junior
286,0.800128721,10170,25.9,50,sweing,Saturday,Quarter3,Master,Junior
945,0.921604938,7560,4.6,0,finishing,Thursday,Quarter4,Master,Junior
98,0.800128721,10170,25.9,38,sweing,Tuesday,Quarter1,Master,Senior
466,0.823555556,1080,4.15,0,finishing,Tuesday,Quarter4,Master,Senior
1034,0.750473684,6840,29.4,56,sweing,Tuesday,Quarter1,Bachelor,Junior
908,0.800071839,6480,30.1,50,sweing,Tuesday,Quarter4,Master,Senior
600,1.05028058,6900,22.52,100,sweing,Wednesday,Quarter1,High School,Senior
678,0.900509044,3600,22.52,70,sweing,Monday,Quarter2,High School,Junior
729,0.536901754,6840,22.52,0,sweing,Wednesday,Quarter2,High School,Junior
797,0.700459889,600,30.1,30,sweing,Monday,Quarter3,High School,Junior
754,0.800401961,4080,15.26,63,sweing,Saturday,Quarter2,High School,Senior
860,0.631354167,1920,5.13,0,finishing,Thursday,Quarter3,High School,Lead
66,0.850569492,7080,26.16,75,sweing,Monday,Quarter1,Bachelor,Lead
1059,0.750651724,6960,26.82,50,sweing,Wednesday,Quarter1,High School,Senior
1101,0.657083333,960,2.9,0,finishing,Saturday,Quarter1,Bachelor,Lead
863,0.585315789,6840,30.33,0,sweing,Thursday,Quarter3,Master,Senior
1081,0.750050847,7080,26.82,50,sweing,Thursday,Quarter1,Master,Lead
1194,0.625625,960,3.9,0,finishing,Wednesday,Quarter2,High School,Junior
303,0.800343766,5490,11.41,63,sweing,Sunday,Quarter3,High School,Junior
255,0.499980334,3390,22.4,23,sweing,Wednesday,Quarter2,High School,Lead
954,0.700251773,3240,21.82,0,sweing,Thursday,Quarter4,Master,Senior
927,0.845833333,1200,2.9,0,finishing,Wednesday,Quarter4,Bachelor,Lead
313,0.650243497,10170,22.94,26,sweing,Sunday,Quarter3,Master,Lead
528,0.971866667,240,3.94,0,finishing,Saturday,Quarter5,Bachelor,Junior
222,0.850502311,10620,26.16,75,sweing,Tuesday,Quarter2,Master,Lead
389,0.555500132,10770,40.99,30,sweing,Thursday,Quarter4,High School,Senior
236,0.526810345,10440,20.79,0,sweing,Tuesday,Quarter2,Bachelor,Lead
1095,0.800034503,3420,11.41,50,sweing,Saturday,Quarter1,High School,Lead
902,0.36871875,960,5.13,0,finishing,Monday,Quarter4,High School,Lead
1056,0.800333333,6840,29.4,63,sweing,Wednesday,Quarter1,High School,Junior
306,0.800015009,3660,26.16,50,sweing,Sunday,Quarter3,Bachelor,Junior
1108,0.945555556,1080,4.6,0,finishing,Sunday,Quarter2,Master,Junior
689,0.612517157,4080,18.79,0,sweing,Monday,Quarter2,Bachelor,Junior
768,1.108125,960,3.94,0,finishing,Sunday,Quarter3,High School,Junior
912,0.750437269,3360,11.61,34,sweing,Tuesday,Quarter4,High School,Lead
1136,0.800401961,4080,15.26,63,sweing,Monday,Quarter2,High School,Senior
250,0.800246753,5670,11.61,38,sweing,Wednesday,Quarter2,Master,Junior
756,0.796208333,1440,3.94,0,finishing,Saturday,Quarter2,Master,Senior
1112,0.884,1200,3.9,0,finishing,Sunday,Quarter2,High School,Junior
72,0.800250962,4800,19.31,50,sweing,Monday,Quarter1,Bachelor,Lead
95,0.800273829,9900,19.87,50,sweing,Tuesday,Quarter1,High School,Lead
544,1.000671304,6900,22.52,113,sweing,Sunday,Quarter1,High School,Junior
34,0.782447917,960,4.15,0,finishing,Saturday,Quarter1,Bachelor,Lead
1175,0.874027778,2400,2.9,0,finishing,Wednesday,Quarter2,Bachelor,Junior
709,0.628333333,960,2.9,0,finishing,Tuesday,Quarter2,High School,Lead
449,0.800020563,10080,22.52,55,sweing,Monday,Quarter4,Master,Junior
446,0.80035194,10260,22.52,69,sweing,Monday,Quarter4,High School,Senior
260,0.988636364,3600,4.3,0,finishing,Thursday,Quarter3,High School,Lead
205,0.800273829,9900,19.87,0,sweing,Monday,Quarter2,Bachelor,Junior
571,0.799963218,6960,29.12,55,sweing,Monday,Quarter1,Master,Senior
819,0.600982906,0,29.4,23,sweing,Tuesday,Quarter3,Master,Lead
584,0.99485,1200,3.94,0,finishing,Tuesday,Quarter1,High School,Senior
366,0.60017284,6360,15.26,23,sweing,Wednesday,Quarter3,Bachelor,Senior
679,0.900477825,360,22.52,70,sweing,Monday,Quarter2,High School,Junior
78,0.759270833,960,2.9,0,finishing,Monday,Quarter1,Master,Senior
85,0.936496212,1440,3.94,0,finishing,Tuesday,Quarter1,High School,Junior
537,0.750646667,4200,15.26,45,sweing,Saturday,Quarter5,High School,Junior
83,0.600028736,6960,21.98,23,sweing,Monday,Quarter1,Bachelor,Senior
458,1.000230409,6840,22.52,119,sweing,Tuesday,Quarter4,Bachelor,Senior
1135,0.800842424,5160,30.1,50,sweing,Monday,Quarter2,Bachelor,Junior
1011,0.8004,1200,2.9,0,finishing,Monday,Quarter1,Bachelor,Senior
937,0.676666667,960,4.6,0,finishing,Wednesday,Quarter4,Bachelor,Junior
1073,0.812625,960,3.94,0,finishing,Thursday,Quarter1,Master,Senior
736,0.755486111,1440,4.15,0,finishing,Thursday,Quarter2,High School,Junior
437,0.329545455,720,2.9,0,finishing,Sunday,Quarter4,Master,Junior
553,0.845069444,1440,4.3,0,finishing,Sunday,Quarter1,High School,Senior
549,0.892194444,2160,3.94,0,finishing,Sunday,Quarter1,High School,Junior
631,0.7504,2520,10.05,34,sweing,Thursday,Quarter1,High School,Senior
351,0.400332792,10080,22.94,30,sweing,Tuesday,Quarter3,Master,Junior
197,0.880530303,1440,3.94,0,finishing,Monday,Quarter2,Master,Junior
465,0.845458333,960,3.94,0,finishing,Tuesday,Quarter4,Master,Junior
962,0.378895152,6600,26.66,23,sweing,Thursday,Quarter4,Bachelor,Lead
6,0.800125,6720,25.9,38,sweing,Thursday,Quarter1,High School,Senior
311,0.650416734,10170,22.52,35,sweing,Sunday,Quarter3,High School,Lead
610,0.755166667,960,3.94,0,finishing,Wednesday,Quarter1,Bachelor,Lead
405,0.800537143,5640,11.61,63,sweing,Saturday,Quarter4,Bachelor,Junior
1042,0.555430556,3360,3.94,0,finishing,Tuesday,Quarter1,Master,Senior
606,0.900147246,6900,22.52,88,sweing,Wednesday,Quarter1,High School,Senior
1063,0.684888889,8400,4.6,0,finishing,Wednesday,Quarter1,Master,Senior
105,0.951420455,1440,3.94,0,finishing,Wednesday,Quarter1,Master,Junior
535,0.850610526,6840,29.12,81,sweing,Saturday,Quarter5,High School,Lead
1183,0.75885,1440,3.94,0,finishing,Wednesday,Quarter2,High School,Junior
63,0.939513889,2400,3.94,0,finishing,Monday,Quarter1,Bachelor,Senior
282,0.884261364,1440,3.94,0,finishing,Saturday,Quarter3,Master,Senior
1142,0.700516224,5520,16.1,30,sweing,Monday,Quarter2,High School,Senior
239,0.934607438,1980,4.15,0,finishing,Wednesday,Quarter2,Master,Junior
224,0.850252525,10260,25.9,60,sweing,Tuesday,Quarter2,Bachelor,Senior
146,0.515606061,900,4.15,0,finishing,Thursday,Quarter2,Master,Lead
1116,0.800511068,3360,30.1,50,sweing,Sunday,Quarter2,Bachelor,Senior
374,0.849983766,10080,22.52,81,sweing,Thursday,Quarter4,Bachelor,Lead
119,0.800246753,5670,11.61,50,sweing,Wednesday,Quarter1,Master,Lead
906,0.800401961,4080,15.26,50,sweing,Tuesday,Quarter4,High School,Junior
251,0.800117103,10620,26.16,63,sweing,Wednesday,Quarter2,Master,Lead
1154,0.894444444,1440,4.6,0,finishing,Tuesday,Quarter2,Master,Lead
10,0.750427826,6900,28.08,45,sweing,Thursday,Quarter1,Master,Senior
450,0.769292929,1620,4.08,0,finishing,Monday,Quarter4,High School,Lead
869,0.800401961,4080,15.26,63,sweing,Sunday,Quarter4,Master,Senior
390,0.500547544,10440,29.12,30,sweing,Thursday,Quarter4,High School,Senior
623,0.950185965,6840,22.52,100,sweing,Thursday,Quarter1,Bachelor,Senior
461,0.926388889,1440,4.15,0,finishing,Tuesday,Quarter4,High School,Senior
1102,0.65024031,4200,16.1,0,sweing,Saturday,Quarter1,Master,Junior
145,0.681060606,1440,2.9,0,finishing,Thursday,Quarter2,High School,Senior
502,0.9008,6900,22.52,88,sweing,Thursday,Quarter5,Bachelor,Junior
1144,0.6825,0,3.9,1200,finishing,Monday,Quarter2,Bachelor,Lead
540,0.600710606,3960,18.79,23,sweing,Saturday,Quarter5,Bachelor,Lead
178,0.850136766,10170,25.9,60,sweing,Sunday,Quarter2,Bachelor,Lead
1156,0.880754167,960,3.94,0,finishing,Tuesday,Quarter2,High School,Senior
696,0.90047076,0,22.52,88,sweing,Tuesday,Quarter2,Bachelor,Senior
582,1.000018551,6900,22.52,113,sweing,Tuesday,Quarter1,Master,Junior
1192,0.650596491,6840,30.48,26,sweing,Wednesday,Quarter2,Master,Senior
8,0.753683478,6900,28.08,45,sweing,Thursday,Quarter1,Bachelor,Lead
554,0.750593103,6960,29.12,45,sweing,Sunday,Quarter1,High School,Lead
838,0.64025,960,3.94,0,finishing,Wednesday,Quarter3,Master,Senior
358,0.800436542,7470,25.9,38,sweing,Wednesday,Quarter3,Master,Lead
330,0.700170388,10260,14.89,50,sweing,Monday,Quarter3,Master,Junior
702,0.796755556,1800,4.15,0,finishing,Tuesday,Quarter2,Master,Junior
834,0.734645833,960,5.13,0,finishing,Wednesday,Quarter3,Bachelor,Senior
259,0.247316017,1260,3.94,0,finishing,Wednesday,Quarter2,Master,Lead
886,0.930416667,960,5.13,0,finishing,Monday,Quarter4,Bachelor,Junior
772,0.760833333,240,4.15,0,finishing,Sunday,Quarter3,High School,Lead
599,0.415172414,6960,30.1,0,sweing,Tuesday,Quarter1,Master,Senior
824,0.9918,1200,5.13,0,finishing,Wednesday,Quarter3,Bachelor,Junior
526,0.971866667,240,3.94,0,finishing,Saturday,Quarter5,High School,Junior
809,0.7866,1800,5.13,0,finishing,Tuesday,Quarter3,High School,Lead
755,0.80037492,3660,22.52,63,sweing,Saturday,Quarter2,Bachelor,Senior
1176,0.819270833,1920,3.9,0,finishing,Wednesday,Quarter2,Bachelor,Lead
1138,0.795416667,0,4.6,1440,finishing,Monday,Quarter2,High School,Lead
441,0.959191919,2700,4.15,0,finishing,Monday,Quarter4,Bachelor,Senior
532,0.971866667,1200,3.94,0,finishing,Saturday,Quarter5,Bachelor,Senior
1020,0.700903571,6720,27.48,34,sweing,Monday,Quarter1,Master,Junior
229,0.800246753,5670,11.61,50,sweing,Tuesday,Quarter2,Master,Lead
1038,0.700659649,6840,27.48,30,sweing,Tuesday,Quarter1,Bachelor,Junior
213,0.648106061,1440,2.9,0,finishing,Monday,Quarter2,Master,Senior
80,0.75024303,6600,19.87,45,sweing,Monday,Quarter1,Bachelor,Lead
149,0.985,2160,3.94,0,finishing,Saturday,Quarter2,High School,Lead
590,0.800259023,2040,15.26,50,sweing,Tuesday,Quarter1,Bachelor,Lead
705,0.750356125,7020,30.1,45,sweing,Tuesday,Quarter2,Bachelor,Senior
627,0.845458333,1440,3.94,0,finishing,Thursday,Quarter1,Master,Lead
134,0.850136766,10170,25.9,60,sweing,Thursday,Quarter2,Bachelor,Lead
778,0.650223718,2640,11.41,23,sweing,Sunday,Quarter3,High School,Lead
409,0.700250784,10440,20.4,50,sweing,Saturday,Quarter4,Master,Senior
787,0.960433333,1200,3.94,0,finishing,Monday,Quarter3,High School,Lead
508,0.853666667,1200,3.94,0,finishing,Thursday,Quarter5,Master,Junior
1003,0.448722222,3360,3.94,0,finishing,Sunday,Quarter1,Master,Lead
505,0.877552083,960,4.15,0,finishing,Thursday,Quarter5,High School,Junior
672,0.568259587,6780,30.1,44,sweing,Sunday,Quarter2,Master,Junior
348,0.700063796,10260,20.4,50,sweing,Tuesday,Quarter3,Bachelor,Senior
387,0.600436426,6960,15.26,23,sweing,Thursday,Quarter4,Master,Lead
1,0.940725424,7080,26.16,98,sweing,Thursday,Quarter1,Master,Senior
361,0.758173077,2400,4.15,0,finishing,Wednesday,Quarter3,Bachelor,Junior
1195,0.625625,960,3.9,0,finishing,Wednesday,Quarter2,Master,Junior
476,0.500035345,6960,20.79,30,sweing,Tuesday,Quarter4,High School,Lead
