Age,Gender,Education,MonthlyIncome,OverTime,DistanceFromHome,YearsAtCompany,Attrition
32,Female,3,4200,No,9,5,Yes
45,Male,3,3452,No,29,6,No
38,Female,5,4317,Yes,3,3,No
30,Female,3,2632,No,18,5,No
32,Male,2,4668,No,9,8,No
30,Female,3,3204,No,5,3,No
30,Male,1,2720,No,2,5,No
41,Male,3,17181,No,10,7,No
41,Male,4,2238,No,9,5,No
19,Female,1,1483,No,3,1,No
40,Female,3,5605,No,26,20,No
35,Male,5,7295,No,1,10,No
53,Male,2,2306,Yes,6,7,No
45,Male,3,2348,No,9,17,No
32,Female,3,8998,No,8,9,No
29,Male,1,4319,No,1,10,No
51,Male,4,6132,No,7,1,No
58,Female,3,3346,Yes,9,1,No
40,Male,4,10855,No,4,12,No
34,Female,4,2231,No,2,4,No
22,Male,1,2323,No,19,2,No
27,Male,3,2024,No,9,2,No
28,Male,3,2713,No,21,5,No
57,Male,2,9439,Yes,24,5,No
27,Male,3,2566,Yes,3,1,No
50,Female,3,19926,No,11,5,No
41,Male,3,2451,No,14,9,No
30,Female,3,9419,No,5,10,No
38,Female,4,8686,No,1,8,No
32,Male,5,3038,No,6,5,No
27,Male,3,3058,Yes,17,5,No
19,Female,1,2325,No,1,0,Yes
36,Male,2,2088,No,3,8,No
30,Male,3,3072,No,9,12,No
45,Female,2,5006,Yes,4,5,No
56,Female,3,4257,Yes,8,2,No
33,Male,3,2500,No,2,3,No
19,Male,3,1102,No,2,1,Yes
46,Female,2,10453,No,1,24,No
38,Female,2,2288,No,9,2,No
31,Female,1,3929,Yes,12,4,No
34,Female,2,2311,No,27,3,No
41,Female,2,3140,Yes,20,4,Yes
50,Male,3,3690,No,1,3,No
53,Female,2,4450,No,13,4,No
33,Female,3,2756,No,14,8,No
40,Female,1,19033,No,4,20,No
55,Male,4,18722,No,14,24,No
34,Male,1,9547,No,2,10,No
51,Female,3,13734,No,3,7,No
52,Male,4,19999,No,1,33,No
27,Female,3,2279,No,9,7,No
35,Male,2,5916,Yes,23,1,Yes
43,Male,3,2089,No,7,5,No
45,Male,2,16792,No,2,20,No
37,Male,3,3564,Yes,21,8,No
35,Female,3,4425,No,2,6,No
42,Female,2,5265,No,21,5,No
38,Male,4,6553,No,2,1,No
38,Male,3,6261,No,29,7,No
27,Male,1,4298,No,1,2,No
49,Male,4,6804,Yes,18,7,No
34,Male,4,3815,Yes,10,5,No
40,Male,2,2741,Yes,19,7,No
38,Male,1,6673,Yes,29,1,Yes
29,Female,3,7639,No,27,10,Yes
22,Male,3,2328,Yes,5,4,No
36,Female,1,2153,No,18,8,No
40,Male,5,4876,No,9,3,No
46,Male,4,9396,No,1,4,No
32,Male,4,10400,No,4,14,Yes
30,Male,1,8474,No,1,11,No
27,Female,3,9981,No,20,7,No
51,Male,4,12490,No,8,10,No
30,Female,3,2657,Yes,3,5,Yes
41,Female,3,13591,Yes,6,1,No
30,Female,4,6696,No,26,6,Yes
29,Male,3,2058,No,1,6,Yes
45,Female,3,8865,No,6,19,No
54,Female,3,5940,No,3,6,No
36,Male,2,5914,No,5,13,No
33,Female,4,2622,No,4,3,No
37,Male,3,12185,Yes,11,10,No
38,Male,3,10609,No,3,16,No
31,Male,4,4345,No,1,5,No
59,Male,3,2177,No,3,1,No
37,Male,4,2793,No,4,9,No
29,Female,1,7918,No,1,11,No
35,Female,3,8789,No,1,10,No
29,Male,1,2389,Yes,18,4,Yes
52,Female,3,3212,No,2,2,No
42,Male,2,19232,No,4,22,No
59,Male,2,2267,No,6,2,No
50,Female,4,19517,No,1,7,No
33,Male,3,2436,Yes,14,5,Yes
43,Female,3,16064,Yes,16,17,No
33,Female,2,2707,No,2,9,Yes
52,Male,4,19068,Yes,2,33,No
32,Female,2,3931,No,4,4,No
32,Male,3,3730,Yes,1,3,Yes
39,Female,4,2232,No,1,3,No
32,Male,4,4465,No,26,3,No
41,Male,2,3072,No,19,1,No
40,Male,2,3319,No,24,9,No
45,Male,3,19202,No,1,24,No
31,Male,4,13675,No,3,2,No
33,Female,4,2911,No,5,2,No
34,Male,4,5957,No,2,11,No
37,Female,2,3920,No,1,3,No
45,Male,4,6434,No,7,3,No
37,Male,3,10048,No,10,1,Yes
39,Female,4,10938,No,2,19,No
29,Male,3,2340,No,15,6,No
42,Female,2,6545,Yes,17,3,No
29,Male,2,6931,No,20,3,No
25,Female,3,4898,No,1,4,No
42,Female,3,2593,Yes,2,9,No
40,Male,2,19436,No,2,21,No
51,Male,3,2723,No,1,1,No
31,Male,2,3479,No,29,5,Yes
32,Male,3,2794,No,7,5,No
38,Male,2,5249,No,2,8,No
32,Male,1,2176,No,2,6,No
46,Female,3,16872,Yes,2,7,No
28,Male,4,3485,No,2,0,Yes
29,Male,3,6644,No,2,0,No
31,Male,3,5582,No,23,9,No
25,Male,2,4000,No,5,6,No
45,Male,2,13496,Yes,20,20,No
36,Male,3,3210,No,6,15,No
55,Male,3,19045,Yes,1,36,No
47,Male,4,11849,Yes,29,10,Yes
28,Male,3,2070,No,9,5,No
37,Male,4,6502,No,6,5,No
21,Male,2,3230,No,3,3,No
37,Female,4,13603,Yes,1,5,No
35,Female,3,11996,No,22,7,No
38,Female,2,5605,Yes,7,8,No
26,Female,3,6397,No,1,6,No
50,Male,1,19144,No,4,10,No
53,Male,4,17584,Yes,3,5,No
42,Male,1,4907,No,1,20,No
29,Male,2,4554,No,2,10,No
55,Male,2,5415,Yes,20,10,No
26,Male,2,4741,Yes,11,5,No
37,Female,3,2115,No,1,17,No
44,Male,3,3161,Yes,24,1,Yes
38,Male,4,5745,No,23,2,No
26,Male,4,2373,Yes,16,3,Yes
28,Female,2,3310,No,8,5,No
49,Female,4,18665,Yes,10,3,No
36,Male,3,4485,No,3,8,No
31,Female,3,2789,No,5,2,No
26,Male,4,5828,Yes,4,8,Yes
37,Male,3,2326,Yes,9,4,No
42,Female,3,13525,No,26,20,No
18,Male,3,1420,No,3,0,Yes
35,Male,3,8020,No,16,11,No
36,Male,4,3688,No,18,1,No
51,Male,3,5482,No,2,4,No
41,Male,4,16015,No,2,22,No
18,Female,3,1200,No,10,0,No
28,Male,2,5661,No,16,8,No
31,Male,3,6929,No,7,8,No
39,Male,3,9613,No,1,18,No
36,Female,4,5674,No,24,9,No
32,Male,3,5484,No,7,13,No
38,Female,2,12061,No,25,10,No
58,Male,4,5660,Yes,1,5,No
31,Male,4,4821,Yes,5,5,No
31,Male,3,6410,No,2,2,No
45,Male,3,5210,No,7,24,No
31,Male,4,2695,Yes,2,2,No
33,Female,4,11878,No,5,10,No
39,Male,1,17068,Yes,10,21,No
43,Female,4,2455,No,10,8,No
49,Female,2,13964,Yes,1,7,No
52,Male,4,4941,No,8,8,Yes
27,Female,3,2478,Yes,5,4,No
32,Female,2,5228,Yes,8,13,No
27,Male,3,4478,Yes,2,5,No
31,Male,3,7547,No,7,7,No
32,Female,4,5055,No,2,7,No
28,Male,4,3464,Yes,2,3,Yes
30,Female,2,5775,No,28,10,No
31,Female,2,8943,No,7,10,No
39,Male,2,19272,No,7,21,No
39,Female,2,5238,Yes,3,1,Yes
33,Male,3,4682,No,10,7,No
47,Male,5,18300,No,5,3,No
43,Female,4,5257,No,10,9,No
27,Male,1,6349,Yes,1,5,No
54,Female,4,4869,No,20,4,No
43,Female,3,9985,No,7,1,No
45,Male,4,3697,No,8,10,No
40,Male,2,7457,Yes,1,4,No
29,Male,4,2119,Yes,8,7,Yes
29,Male,5,3983,No,9,3,No
30,Female,3,6118,No,5,10,No
27,Female,4,6214,No,8,8,No
37,Male,2,6347,No,5,6,No
38,Male,2,11510,Yes,15,11,No
31,Female,4,7143,Yes,7,11,No
29,Female,1,8268,Yes,10,7,No
35,Male,4,8095,No,5,16,No
23,Male,1,2904,No,26,4,No
41,Male,3,6032,Yes,6,5,No
47,Male,1,2976,No,4,0,No
42,Female,5,15992,No,23,1,No
29,Male,3,4649,No,2,4,No
42,Male,1,2696,Yes,2,3,No
32,Female,3,2370,No,2,8,No
48,Female,1,12504,No,29,0,No
37,Male,3,5974,Yes,6,7,No
30,Female,2,4736,Yes,25,2,No
26,Male,3,5296,No,1,8,No
42,Male,4,6781,No,2,1,No
21,Female,1,2174,Yes,1,3,Yes
36,Female,5,6653,No,1,1,No
36,Male,4,9699,No,3,13,No
57,Male,4,6755,No,1,3,No
40,Female,4,2213,Yes,10,7,No
21,Male,2,2610,No,9,3,No
33,Female,3,2851,Yes,5,1,Yes
37,Female,3,3452,No,10,5,No
46,Female,4,5258,No,7,1,No
41,Male,3,9355,No,4,8,Yes
50,Male,3,10496,No,10,4,No
40,Male,2,6380,Yes,22,6,Yes
31,Male,4,2657,Yes,9,2,No
21,Female,3,2716,No,12,1,Yes
29,Male,3,2201,No,23,3,No
35,Male,4,6540,No,9,1,No
27,Male,2,3816,No,1,5,No
28,Male,4,5253,No,9,7,No
49,Male,3,10965,No,7,5,No
51,Female,2,4936,No,14,7,No
36,Female,3,2543,No,2,2,No
34,Male,3,5304,Yes,19,5,Yes
55,Female,3,16659,Yes,2,5,No
24,Female,4,4260,Yes,10,5,No
30,Male,1,2476,No,2,1,No
26,Male,1,3102,No,3,6,Yes
22,Female,3,2244,No,11,2,No
36,Male,2,7596,No,2,10,No
30,Male,3,2285,Yes,4,1,Yes
37,Female,3,3034,No,14,18,No
40,Female,2,5715,No,2,5,No
42,Female,4,2576,No,1,5,No
37,Male,4,4197,Yes,10,1,No
43,Male,3,14336,No,12,25,No
40,Female,3,3448,No,2,1,No
54,Male,2,19406,No,5,4,No
34,Female,4,6538,No,4,3,No
31,Female,2,4306,No,7,13,No
43,Male,3,2258,No,21,3,No
43,Female,4,4522,Yes,8,5,No
25,Female,2,4487,Yes,4,5,No
37,Female,5,4449,Yes,25,13,No
31,Male,2,2218,No,1,4,No
39,Male,1,19197,Yes,1,21,No
56,Female,3,13212,No,6,7,No
30,Female,3,6577,No,12,5,No
41,Male,3,8392,No,1,10,No
28,Male,2,4558,No,17,10,No
25,Male,3,4031,No,3,2,Yes
52,Male,3,7969,Yes,3,5,No
45,Male,2,2654,No,10,2,No
52,Female,2,16555,No,4,5,No
42,Female,2,4556,No,29,5,No
30,Female,3,6091,No,2,5,No
60,Female,3,19566,No,7,29,No
46,Female,3,4810,No,18,10,No
42,Female,4,4523,No,28,6,No
24,Female,1,3202,Yes,1,5,Yes
34,Female,2,2351,No,6,2,Yes
38,Male,2,1702,Yes,2,1,No
40,Female,4,18041,No,2,20,No
26,Female,3,2886,No,23,3,No
30,Male,3,2097,No,3,5,No
29,Male,4,11935,No,3,10,No
29,Female,5,2546,No,25,2,Yes
19,Male,2,2564,No,2,1,Yes
30,Female,4,8412,No,22,9,No
57,Male,3,14118,No,29,1,No
50,Male,4,17046,No,29,27,No
30,Female,3,2564,No,2,11,No
60,Female,3,10266,No,28,18,No
47,Female,2,5070,No,2,5,No
46,Male,3,17861,No,2,3,No
35,Male,3,4230,No,22,5,No
54,Female,4,3780,No,8,1,No
34,Male,4,2768,No,2,7,No
46,Female,3,9071,Yes,10,3,No
31,Male,1,10648,No,9,13,No
33,Male,1,13610,Yes,15,7,Yes
33,Male,1,3408,No,10,4,Yes
30,Male,1,2983,No,7,3,No
35,Male,3,7632,Yes,16,8,No
31,Male,3,9824,No,20,1,Yes
34,Female,3,9950,Yes,23,3,Yes
42,Male,2,2093,No,5,2,No
36,Male,4,9980,No,10,10,No
22,Male,1,3894,No,4,2,Yes
48,Female,5,4051,No,2,9,No
55,Female,5,16835,No,18,10,No
41,Male,2,6230,No,10,14,No
35,Male,3,4717,No,1,11,No
40,Female,3,13237,No,6,20,No
39,Female,1,3755,No,8,8,No
31,Male,1,6582,Yes,2,6,No
42,Male,3,7406,Yes,24,10,No
45,Male,3,4805,No,2,8,No
26,Female,4,2741,Yes,17,7,Yes
29,Male,3,4262,No,19,3,No
33,Female,5,16184,No,1,6,No
31,Male,3,11557,No,7,5,No
18,Male,3,1878,Yes,5,0,Yes
40,Male,3,10932,No,28,1,No
41,Female,4,6811,Yes,2,8,No
26,Male,2,4306,No,29,0,No
35,Female,3,4859,No,1,5,No
34,Male,4,5337,No,21,10,No
26,Male,3,2340,Yes,24,1,Yes
37,Female,3,7491,No,1,6,No
46,Female,1,10527,No,18,2,No
41,Female,5,16595,No,2,18,No
37,Male,4,8834,No,9,9,No
52,Male,2,5577,Yes,6,10,No
32,Male,4,4707,No,11,4,Yes
24,Male,3,2400,No,24,2,No
38,Female,3,9824,No,10,1,No
37,Female,4,6447,No,1,6,No
49,Male,4,19502,Yes,18,31,No
24,Male,3,2725,Yes,23,6,No
26,Male,2,6272,No,28,5,No
24,Male,2,2127,No,17,1,No
50,Male,3,18200,No,3,32,No
25,Male,1,2096,No,13,7,No
24,Female,3,2886,Yes,7,6,Yes
30,Male,4,2033,No,12,1,Yes
34,Male,2,3622,Yes,1,6,No
31,Male,4,4233,No,13,3,Yes
35,Male,2,3681,No,25,3,No
31,Male,4,5460,No,6,7,No
27,Female,4,2187,No,6,5,No
37,Male,3,9602,Yes,2,3,No
20,Female,3,2836,No,1,1,No
42,Female,4,4089,No,2,10,No
43,Male,4,16627,Yes,6,1,No
38,Female,1,2619,No,1,0,No
43,Male,5,5679,Yes,9,8,No
48,Female,4,15402,No,1,3,No
44,Female,4,5985,No,1,2,No
34,Female,3,2579,Yes,14,8,No
27,Male,1,3041,No,2,4,Yes
21,Male,1,3447,No,22,3,No
44,Male,4,19513,Yes,3,2,No
22,Male,1,2773,No,6,2,No
33,Male,4,7104,No,8,5,No
32,Female,4,6322,Yes,9,6,No
30,Female,3,2083,No,3,1,No
53,Female,1,8381,No,1,14,No
34,Male,5,2691,No,1,10,No
45,Female,4,4286,No,26,1,Yes
26,Female,3,2659,Yes,6,3,No
37,Male,3,9434,No,3,10,No
29,Female,2,5561,No,3,6,No
35,Male,4,6646,No,6,17,No
33,Male,3,7725,No,6,13,No
54,Male,4,10725,No,19,9,No
36,Male,2,8847,Yes,9,3,No
27,Male,4,2045,No,3,4,No
20,Male,1,1009,Yes,10,1,Yes
33,Male,3,3348,Yes,3,10,Yes
35,Male,3,1281,No,3,1,No
23,Male,3,2819,No,4,3,No
25,Male,3,4851,No,8,3,No
38,Female,4,4028,No,7,7,No
29,Male,4,2720,No,1,10,No
48,Male,1,8120,No,2,2,No
27,Female,1,4647,Yes,3,6,No
37,Male,2,4680,No,10,1,No
50,Male,1,3221,Yes,28,20,No
34,Female,3,8621,No,9,8,No
24,Female,2,4577,No,3,2,Yes
39,Female,4,4553,No,2,20,No
32,Male,3,5396,No,10,10,No
50,Male,2,6796,Yes,8,4,Yes
38,Female,4,7625,No,1,9,No
27,Female,2,7412,No,1,9,No
32,Female,2,11159,No,3,7,No
47,Male,4,4960,No,14,7,No
40,Male,4,10475,Yes,5,18,No
53,Male,3,14814,No,7,5,No
41,Male,4,19141,No,10,21,No
60,Male,4,5405,No,16,2,No
27,Male,2,8793,No,10,9,No
41,Male,3,19189,No,1,22,No
50,Male,4,3875,No,8,2,No
28,Female,2,2216,Yes,1,7,Yes
36,Female,3,11713,No,8,8,No
38,Female,3,7861,Yes,1,1,No
44,Male,3,3708,No,24,5,No
47,Female,3,13770,Yes,3,22,No
30,Male,5,5304,No,27,8,No
29,Male,3,2642,No,10,1,No
42,Male,3,2759,Yes,19,2,Yes
43,Male,3,6804,No,15,2,No
34,Female,2,6142,No,8,5,No
23,Male,1,2500,No,9,4,No
39,Female,3,6389,No,3,8,No
56,Male,3,11103,No,9,10,No
40,Female,1,2342,Yes,2,4,No
27,Female,3,6811,No,7,7,No
29,Male,3,2297,No,10,2,No
53,Male,3,2450,No,6,2,No
35,Female,4,5093,No,2,1,No
32,Male,4,5309,No,24,10,No
38,Male,5,3057,Yes,2,1,No
34,Female,5,5121,No,8,0,No
52,Male,4,16856,No,3,34,No
33,Male,4,2686,Yes,1,10,Yes
25,Female,1,6180,No,26,6,No
45,Male,2,6632,No,2,8,No
23,Male,1,3505,No,10,2,No
47,Female,2,6397,Yes,27,5,Yes
34,Male,3,6274,No,2,6,No
55,Male,3,19859,Yes,2,5,Yes
36,Male,4,7587,No,8,10,No
52,Male,4,4258,No,19,4,No
26,Female,2,4364,No,1,2,No
29,Female,3,4335,No,27,8,No
26,Male,3,5326,No,8,4,Yes
34,Female,4,3280,No,1,4,No
54,Female,4,5485,Yes,19,5,No
27,Male,1,4342,No,8,4,No
37,Female,1,2782,Yes,10,5,No
38,Female,4,5980,Yes,2,15,No
34,Female,4,4381,No,2,6,No
35,Female,4,2572,No,8,3,No
30,Male,3,3833,No,1,2,No
40,Female,2,4244,No,2,8,No
34,Female,2,6500,No,8,3,No
42,Male,3,18430,No,8,24,No
23,Male,3,1601,Yes,6,0,Yes
24,Male,3,2694,No,9,1,No
52,Female,4,3149,No,11,5,No
50,Male,3,17639,No,2,4,No
29,Female,2,2319,Yes,1,1,Yes
33,Male,3,11691,No,7,13,No
33,Female,3,5324,No,16,3,Yes
47,Female,2,16752,Yes,2,26,No
36,Female,3,5228,No,1,9,No
29,Male,2,2700,No,23,10,No
58,Male,4,19246,Yes,2,31,Yes
35,Female,4,2506,No,1,2,No
42,Female,2,6062,Yes,1,4,No
28,Male,4,4382,No,2,2,Yes
36,Male,3,2143,No,13,5,No
32,Female,3,6162,No,4,14,No
40,Male,4,5094,No,16,1,No
30,Female,3,6877,Yes,2,0,No
45,Female,3,2274,No,2,1,No
42,Male,3,4434,No,29,9,No
38,Male,3,6288,No,12,4,No
34,Female,4,2553,No,16,5,No
49,Female,3,7654,No,11,9,Yes
55,Male,1,5160,No,2,9,Yes
43,Male,2,17159,No,14,4,No
27,Male,1,12808,Yes,5,9,No
35,Male,3,10221,No,7,8,No
28,Female,4,4779,Yes,2,8,No
34,Male,2,3737,No,3,3,No
26,Female,2,2366,Yes,5,8,Yes
27,Male,3,1706,No,3,0,No
51,Female,4,16307,No,26,20,No
44,Male,3,5933,No,4,5,No
25,Male,1,3424,No,2,4,No
33,Male,3,4037,No,1,9,No
35,Female,1,2559,No,27,6,No
36,Male,2,6201,Yes,1,18,No
32,Male,4,4403,No,13,5,No
30,Male,4,3761,No,5,5,No
53,Female,2,10934,Yes,7,5,No
45,Male,3,10761,Yes,9,5,No
32,Female,2,5175,No,8,5,No
52,Female,4,13826,No,25,9,No
37,Male,4,6334,No,16,1,No
28,Male,2,4936,No,8,5,No
22,Male,2,4775,No,1,2,No
44,Male,4,2818,Yes,8,3,No
42,Male,1,2515,Yes,2,2,No
36,Male,3,2342,No,8,5,No
25,Male,1,4194,Yes,3,5,No
35,Female,3,10685,Yes,9,17,No
35,Female,4,2022,Yes,25,10,Yes
32,Male,3,2314,No,1,3,No
25,Male,1,4256,No,4,5,No
49,Female,3,3580,No,1,4,No
24,Male,1,3162,No,4,5,No
32,Male,2,6524,No,5,10,No
38,Male,3,2899,No,9,2,No
42,Female,3,5231,Yes,3,5,No
31,Male,4,2356,Yes,11,6,No
29,Female,3,2800,Yes,1,3,Yes
53,Male,3,11836,No,8,2,No
35,Male,3,10903,No,25,13,No
37,Female,2,2973,No,21,5,No
53,Female,4,14275,No,23,12,No
43,Female,3,5562,No,1,5,No
47,Female,2,4537,Yes,2,7,No
37,Male,2,7642,Yes,19,10,No
50,Male,4,17924,No,2,31,No
39,Female,3,5204,No,2,5,No
33,Male,2,2277,Yes,3,4,No
32,Male,4,2795,Yes,25,1,Yes
29,Female,1,2532,No,7,4,No
44,Male,2,2559,Yes,9,8,No
28,Male,4,4908,No,5,4,No
58,Male,1,2380,Yes,2,1,Yes
43,Female,3,4765,No,8,1,No
20,Female,3,2044,No,2,2,Yes
21,Female,1,2693,No,18,1,Yes
36,Male,1,6586,Yes,14,16,No
47,Female,4,3294,Yes,2,3,No
22,Female,1,4171,Yes,3,3,Yes
41,Female,4,2778,Yes,2,7,Yes
28,Female,3,2377,No,9,2,No
39,Male,3,2404,Yes,6,2,Yes
27,Female,3,2318,No,4,1,No
34,Male,3,2008,No,10,1,No
42,Female,2,6244,No,14,5,No
33,Male,4,2799,Yes,1,3,No
58,Female,3,10552,Yes,5,6,No
31,Male,4,2329,No,7,7,No
35,Female,1,4014,Yes,21,10,No
49,Female,2,7403,No,8,26,No
48,Male,4,2259,No,20,0,No
31,Female,2,6932,No,20,9,No
36,Male,4,4678,No,7,6,No
38,Female,3,13582,No,1,15,No
32,Female,3,2332,No,1,3,No
25,Male,2,2413,Yes,19,1,Yes
40,Male,4,9705,No,10,1,No
26,Male,3,4294,No,1,7,No
41,Male,3,4721,Yes,6,18,No
36,Male,4,2519,No,2,11,No
19,Male,3,2121,Yes,21,1,Yes
20,Male,3,2973,No,4,1,Yes
31,Female,3,5855,Yes,12,9,No
40,Male,4,3617,Yes,9,1,No
32,Female,4,6725,No,3,8,No
36,Male,1,10325,Yes,3,16,Yes
33,Female,3,6949,No,1,5,No
37,Male,4,10609,No,1,14,Yes
45,Male,2,4447,No,4,9,No
29,Female,3,2157,No,20,3,No
35,Female,3,4601,No,18,5,No
52,Male,2,17099,No,1,9,No
58,Male,3,2479,No,2,1,Yes
53,Male,2,14852,No,2,17,No
30,Male,2,7264,No,8,8,No
38,Female,3,5666,Yes,10,5,No
35,Male,4,7823,No,3,10,No
39,Male,5,7880,No,2,8,No
40,Female,3,13194,Yes,24,1,Yes
47,Male,4,5067,Yes,16,19,No
36,Male,4,5079,No,8,7,No
31,Male,2,2321,Yes,9,3,Yes
33,Male,3,17444,No,17,10,No
29,Female,3,2404,Yes,10,0,Yes
33,Female,1,3452,No,13,3,No
45,Female,4,2270,No,1,5,No
50,Male,2,17399,No,1,5,No
33,Female,4,5488,Yes,1,6,No
41,Male,3,19419,No,9,18,No
27,Female,4,2811,No,16,2,No
45,Male,2,3633,Yes,23,9,No
47,Female,2,4163,Yes,4,9,No
30,Female,3,2132,Yes,22,5,Yes
50,Male,3,13973,Yes,24,12,No
38,Male,1,2684,No,10,2,No
46,Male,2,10845,No,7,8,No
24,Female,1,4377,No,17,4,No
35,Male,4,3743,Yes,14,4,Yes
31,Female,1,4148,No,1,4,No
18,Male,2,1051,No,5,0,No
54,Female,3,10739,No,17,10,No
35,Female,4,10388,Yes,25,16,No
30,Female,2,11416,Yes,8,8,No
20,Female,3,2600,Yes,11,1,Yes
30,Female,3,2422,No,5,3,Yes
26,Male,2,5472,No,2,8,No
22,Male,1,2451,No,8,4,No
