log_id,server_id,location,check_date,check_type,issue_detected,issue_category,cpu_usage,memory_usage,disk_usage,temp_abnormal_flag,uptime_days,auto_alert_triggered,fix_required,fix_duration_hours
CHK000022,SRV0022,25사단,2024-07-25 21:00:00,일간,0,전력,16.4,25.1,28.5,1,267,0,0,3.8
CHK000023,SRV0023,22사단,2024-11-23 11:00:00,일간,1,없음,40.7,50.1,14.8,1,60,0,1,1.46
CHK000024,SRV0024,13사단,2024-09-25 18:00:00,일간,0,전력,43.1,28.8,30.1,1,114,1,1,2.62
CHK000025,SRV0025,15사단,2024-10-17 06:00:00,주간,1,CPU과부하,29.5,26.8,15.7,0,106,1,0,2.24
CHK000026,SRV0026,17사단,2024-09-27 09:00:00,월간,0,없음,47.6,42.9,32.8,0,144,1,1,2.89
CHK000027,SRV0027,19사단,2024-09-12 01:00:00,주간,0,없음,24.1,19.8,27.4,0,126,1,0,6.94
CHK000028,SRV0028,17사단,2024-09-15 21:00:00,월간,1,없음,18.3,42.9,30.8,0,169,1,0,1.19
CHK000029,SRV0029,14사단,2024-12-04 05:00:00,월간,1,디스크,48.8,36.0,35.6,1,219,1,1,2.14
CHK000030,SRV0030,24사단,2024-12-16 12:00:00,월간,0,없음,33.2,34.0,38.1,0,160,1,0,1.54
CHK000031,SRV0031,19사단,2024-11-14 12:00:00,월간,0,없음,25.6,28.0,40.8,0,408,0,1,3.24
CHK000032,SRV0032,12사단,2024-12-12 13:00:00,월간,0,디스크,20.0,35.7,23.2,0,190,1,0,1.21
CHK000033,SRV0033,25사단,2024-10-09 08:00:00,주간,0,없음,27.4,43.8,19.3,1,121,0,0,4.28
CHK000034,SRV0034,17사단,2024-09-10 06:00:00,월간,0,전력,94.6144112494508,94.27852912568768,34.6,1,155,1,1,5.76
CHK000035,SRV0035,22사단,2024-12-15 21:00:00,일간,0,없음,16.3,23.0,26.3,1,287,1,0,5.08
CHK000036,SRV0036,18사단,2024-07-03 22:00:00,일간,0,없음,99.27131080879734,83.28964638806663,24.8,1,328,1,0,1.12
CHK000037,SRV0037,25사단,2024-10-19 07:00:00,월간,0,CPU과부하,57.7,29.8,54.1,0,212,1,1,2.66
CHK000038,SRV0038,13사단,2024-12-08 06:00:00,월간,1,디스크,10.0,33.0,27.6,1,48,1,0,5.33
CHK000039,SRV0039,24사단,2024-07-19 01:00:00,월간,1,CPU과부하,32.2,24.4,17.7,0,134,0,1,2.51
CHK000040,SRV0040,정보통신대,2024-08-19 14:00:00,월간,0,디스크,15.9,49.9,25.7,1,66,1,1,3.2
CHK000041,SRV0041,14사단,2024-08-15 23:00:00,주간,0,없음,43.5,35.0,37.9,0,233,1,0,2.88
CHK000042,SRV0042,18사단,2024-09-21 18:00:00,월간,0,전력,26.2,22.2,19.8,1,101,1,0,1.97
CHK000043,SRV0043,14사단,2024-08-23 16:00:00,주간,0,전력,46.9,43.3,53.7,1,117,0,1,2.71
CHK000044,SRV0044,12사단,2024-10-26 18:00:00,월간,0,전력,33.0,16.6,21.2,1,138,0,0,4.03
CHK000045,SRV0045,16사단,2024-07-27 15:00:00,일간,0,없음,27.4,32.9,35.8,0,118,1,1,1.5
CHK000046,SRV0046,20사단,2024-11-24 00:00:00,주간,1,전력,23.8,26.0,9.3,0,53,1,0,4.0
CHK000047,SRV0047,14사단,2024-12-26 06:00:00,월간,0,전력,28.0,20.5,46.0,1,325,0,0,2.74
CHK000048,SRV0048,22사단,2024-12-04 22:00:00,월간,0,CPU과부하,27.0,36.2,33.4,1,258,1,1,4.17
CHK000049,SRV0049,12사단,2024-12-18 04:00:00,월간,0,없음,20.4,34.1,22.0,1,158,1,1,6.17
CHK000050,SRV0050,20사단,2024-10-02 16:00:00,월간,0,없음,26.7,23.7,25.0,1,73,1,0,1.94
CHK000051,SRV0051,14사단,2024-10-15 23:00:00,일간,0,없음,46.2,29.4,38.3,1,145,0,1,2.21
CHK000052,SRV0052,24사단,2024-11-13 09:00:00,일간,0,전력,7.3,49.3,34.7,0,120,1,1,9.28
CHK000053,SRV0053,기술지원대,2024-08-11 12:00:00,주간,1,전력,82.5,24.9,25.2,1,49,0,0,2.69
CHK000054,SRV0054,25사단,2024-12-01 17:00:00,월간,0,없음,34.2,29.4,54.5,0,183,0,1,2.38
CHK000055,SRV0055,18사단,2024-08-11 18:00:00,월간,0,없음,21.7,40.7,39.4,0,87,1,0,2.8
CHK000056,SRV0056,24사단,2024-10-21 19:00:00,주간,0,CPU과부하,13.9,42.3,9.4,0,242,1,0,1.76
CHK000057,SRV0057,18사단,2024-11-21 04:00:00,월간,0,디스크,14.4,63.2,38.7,0,124,1,1,1.3
CHK000058,SRV0058,기술지원대,2024-07-03 14:00:00,월간,0,전력,19.3,22.7,4.7,0,435,0,1,1.81
CHK000059,SRV0059,23사단,2024-10-06 12:00:00,일간,1,디스크,13.9,27.3,20.5,1,213,1,1,2.85
CHK000060,SRV0060,25사단,2024-11-27 07:00:00,일간,0,CPU과부하,23.4,29.6,64.2,1,108,1,1,3.61
CHK000061,SRV0061,23사단,2024-07-23 16:00:00,일간,0,전력,41.6,38.6,20.4,1,58,1,1,3.33
CHK000062,SRV0062,19사단,2024-09-06 18:00:00,일간,0,없음,27.7,26.3,23.2,1,137,1,1,2.05
CHK000063,SRV0063,25사단,2024-08-23 08:00:00,주간,0,없음,39.2,27.0,36.3,1,113,0,1,2.64
CHK000064,SRV0064,23사단,2024-11-28 14:00:00,일간,0,없음,27.4,24.4,34.3,1,164,0,0,1.89
CHK000065,SRV0065,11사단,2024-08-29 08:00:00,주간,0,CPU과부하,23.9,33.4,28.9,0,92,0,1,2.39
CHK000066,SRV0066,17사단,2024-08-24 20:00:00,월간,1,CPU과부하,17.9,22.3,42.4,1,134,1,1,3.37
CHK000067,SRV0067,19사단,2024-09-01 23:00:00,일간,0,없음,22.0,39.7,19.1,0,185,0,1,2.51
CHK000068,SRV0068,11사단,2024-08-24 16:00:00,일간,1,전력,29.5,20.6,29.2,1,231,1,1,5.17
CHK000069,SRV0069,22사단,2024-09-01 12:00:00,주간,0,전력,20.3,45.5,26.6,1,196,0,0,4.29
CHK000070,SRV0070,18사단,2024-09-11 14:00:00,월간,1,CPU과부하,28.9,29.0,45.9,1,65,1,0,1.06
CHK000071,SRV0071,21사단,2024-12-14 00:00:00,주간,0,CPU과부하,42.0,27.3,22.0,0,254,1,0,3.22
CHK000072,SRV0072,정보통신대,2024-09-03 04:00:00,월간,0,없음,28.4,30.9,14.0,0,191,0,0,0.78
CHK000073,SRV0073,18사단,2024-07-09 11:00:00,일간,0,CPU과부하,24.5,18.9,31.3,0,136,1,1,3.24
CHK000074,SRV0074,13사단,2024-12-03 12:00:00,일간,0,CPU과부하,32.0,20.3,19.7,1,240,0,1,0.87
CHK000075,SRV0075,13사단,2024-07-26 07:00:00,주간,0,없음,28.6,16.3,21.4,0,119,1,1,6.11
CHK000076,SRV0076,11사단,2024-11-20 05:00:00,월간,0,없음,30.4,25.7,36.4,1,242,1,0,4.58
CHK000077,SRV0077,15사단,2024-07-27 05:00:00,주간,1,없음,34.6,22.7,24.7,0,231,1,0,3.06
CHK000078,SRV0078,20사단,2024-09-23 17:00:00,일간,0,디스크,24.0,29.6,18.9,0,112,0,1,4.8
CHK000079,SRV0079,17사단,2024-10-07 02:00:00,월간,0,CPU과부하,27.0,47.2,29.9,0,189,0,0,6.65
CHK000080,SRV0080,19사단,2024-07-12 20:00:00,월간,0,CPU과부하,37.6,60.2,26.5,0,105,1,1,5.12
CHK000081,SRV0081,17사단,2024-07-30 20:00:00,주간,1,디스크,15.1,34.1,6.5,0,220,1,0,4.4
CHK000082,SRV0082,19사단,2024-08-07 20:00:00,월간,0,전력,23.6,20.1,29.1,0,125,1,1,1.3
CHK000083,SRV0083,18사단,2024-08-29 05:00:00,주간,0,없음,47.8,46.1,30.2,1,251,1,1,2.12
CHK000084,SRV0084,22사단,2024-10-12 14:00:00,일간,0,전력,39.7,63.9,22.1,0,98,1,1,2.14
CHK000085,SRV0085,12사단,2024-11-23 19:00:00,주간,0,CPU과부하,28.6,30.6,31.5,1,360,0,1,4.64
CHK000086,SRV0086,11사단,2024-07-29 15:00:00,주간,0,전력,40.4,39.4,32.3,0,26,0,0,3.79
CHK000087,SRV0087,기술지원대,2024-07-21 16:00:00,월간,0,전력,36.0,22.7,31.0,0,122,1,0,1.67
CHK000088,SRV0088,15사단,2024-11-23 22:00:00,월간,0,디스크,12.4,31.3,33.5,0,162,1,0,6.16
CHK000089,SRV0089,13사단,2024-12-12 05:00:00,주간,1,전력,36.5,38.6,22.1,1,86,1,1,1.31
CHK000090,SRV0090,22사단,2024-11-17 10:00:00,주간,0,CPU과부하,20.5,46.3,40.8,1,65,1,0,2.08
CHK000091,SRV0091,18사단,2024-10-21 19:00:00,월간,1,전력,16.7,23.8,32.3,1,81,0,0,3.54
CHK000092,SRV0092,13사단,2024-11-06 02:00:00,일간,0,없음,27.6,34.3,14.6,1,124,0,0,1.64
CHK000093,SRV0093,11사단,2024-11-26 22:00:00,월간,0,CPU과부하,29.9,19.4,18.1,0,124,0,0,2.45
CHK000094,SRV0094,13사단,2024-11-14 21:00:00,주간,0,CPU과부하,35.9,33.6,31.3,0,145,0,0,1.73
CHK000095,SRV0095,15사단,2024-09-21 12:00:00,월간,1,없음,14.4,37.3,40.3,1,104,1,1,3.2
CHK000096,SRV0096,25사단,2024-08-24 13:00:00,일간,0,없음,99.27228229338475,95.6572483666565,29.3,1,147,1,1,2.52
CHK000097,SRV0097,24사단,2024-10-24 18:00:00,월간,0,디스크,28.0,27.3,31.3,1,273,1,1,4.51
CHK000098,SRV0098,13사단,2024-08-31 22:00:00,일간,0,CPU과부하,18.6,54.7,25.6,1,99,0,1,2.23
CHK000099,SRV0099,11사단,2024-12-14 03:00:00,일간,0,전력,33.5,33.2,26.5,1,85,0,1,4.29
CHK000100,SRV0100,15사단,2024-07-27 13:00:00,월간,1,없음,33.5,32.8,16.1,1,139,0,0,4.77
CHK000101,SRV0101,24사단,2024-08-03 00:00:00,월간,0,디스크,30.6,21.6,21.9,1,174,0,0,1.69
CHK000102,SRV0102,17사단,2024-09-30 17:00:00,월간,1,전력,87.15198903752474,94.19661990522663,14.7,1,82,0,0,4.74
CHK000103,SRV0103,19사단,2024-11-25 07:00:00,일간,0,없음,58.1,38.6,20.9,1,68,0,0,3.13
CHK000104,SRV0104,25사단,2024-10-03 05:00:00,월간,1,없음,31.3,27.3,25.7,1,204,0,1,1.46
CHK000105,SRV0105,25사단,2024-12-20 08:00:00,일간,1,전력,40.5,34.6,25.7,0,314,0,1,7.18
CHK000106,SRV0106,20사단,2024-11-14 19:00:00,주간,1,CPU과부하,20.4,38.5,39.1,0,125,1,1,4.14
CHK000107,SRV0107,23사단,2024-11-14 14:00:00,일간,0,전력,17.5,22.4,46.9,0,108,1,0,4.76
CHK000108,SRV0108,17사단,2024-11-05 21:00:00,월간,0,디스크,88.36348634099681,95.72577785663537,33.0,1,471,1,1,1.64
CHK000109,SRV0109,정보통신대,2024-07-16 01:00:00,일간,0,없음,20.1,22.6,36.7,0,109,1,0,0.58
CHK000110,SRV0110,14사단,2024-11-19 05:00:00,주간,1,전력,16.9,29.1,31.4,0,63,1,0,3.09
CHK000111,SRV0111,15사단,2024-10-06 07:00:00,주간,1,전력,29.5,20.4,30.1,0,13,1,0,3.07
CHK000112,SRV0112,17사단,2024-07-21 23:00:00,일간,0,없음,16.7,12.1,52.6,1,170,0,0,1.1
CHK000113,SRV0113,23사단,2024-08-15 10:00:00,주간,0,디스크,28.0,23.6,14.5,1,66,1,1,1.25
CHK000114,SRV0114,25사단,2024-10-28 13:00:00,주간,1,디스크,33.0,21.8,23.1,1,82,0,0,2.83
CHK000115,SRV0115,21사단,2024-08-17 05:00:00,일간,0,디스크,19.2,34.0,21.0,0,150,1,0,3.81
CHK000116,SRV0116,14사단,2024-09-22 00:00:00,주간,0,전력,35.2,34.3,26.5,1,158,1,1,3.71
CHK000117,SRV0117,23사단,2024-12-19 06:00:00,일간,1,전력,18.3,47.1,46.3,0,235,0,0,4.17
CHK000118,SRV0118,17사단,2024-07-08 08:00:00,일간,0,CPU과부하,33.7,34.4,34.1,0,193,1,0,2.18
CHK000119,SRV0119,12사단,2024-11-07 16:00:00,일간,0,전력,35.1,21.4,21.6,0,141,1,0,2.14
CHK000120,SRV0120,20사단,2024-08-21 12:00:00,일간,0,없음,26.1,39.8,39.2,1,64,0,1,4.01
CHK000121,SRV0121,23사단,2024-08-06 09:00:00,일간,1,없음,20.5,25.3,45.4,1,105,0,0,2.65
CHK000122,SRV0122,16사단,2024-08-13 16:00:00,일간,0,디스크,23.9,55.7,9.1,1,299,1,1,5.0
CHK000123,SRV0123,22사단,2024-10-25 05:00:00,일간,0,디스크,13.3,17.1,20.7,1,52,1,1,2.84
CHK000124,SRV0124,22사단,2024-10-07 14:00:00,주간,0,없음,44.8,99.3,39.8,0,105,0,1,1.13
CHK000125,SRV0125,21사단,2024-07-06 03:00:00,주간,1,디스크,20.3,19.4,28.1,1,70,0,1,2.32
CHK000126,SRV0126,17사단,2024-12-26 04:00:00,일간,0,전력,29.3,25.3,26.1,0,328,1,0,2.76
CHK000127,SRV0127,11사단,2024-12-10 08:00:00,월간,0,없음,31.9,22.4,41.7,0,178,1,0,1.52
CHK000128,SRV0128,11사단,2024-11-11 12:00:00,일간,0,CPU과부하,27.5,41.6,41.8,0,102,0,1,0.61
CHK000129,SRV0129,23사단,2024-07-30 19:00:00,월간,0,없음,23.7,53.9,32.0,1,168,0,0,2.42
CHK000130,SRV0130,19사단,2024-10-08 01:00:00,일간,0,전력,23.8,42.6,26.9,0,91,0,0,7.71
CHK000131,SRV0131,13사단,2024-08-27 03:00:00,일간,1,전력,21.6,27.6,26.1,0,52,1,1,3.24
CHK000132,SRV0132,17사단,2024-09-10 12:00:00,주간,0,없음,26.0,42.2,18.7,1,254,0,1,1.64
CHK000133,SRV0133,16사단,2024-11-14 00:00:00,일간,0,없음,33.7,28.3,22.8,1,70,0,0,2.23
CHK000134,SRV0134,18사단,2024-09-15 17:00:00,월간,0,디스크,24.5,51.0,37.7,0,197,0,1,4.02
CHK000135,SRV0135,19사단,2024-08-01 01:00:00,월간,0,없음,22.7,31.1,13.7,0,113,0,0,2.73
CHK000136,SRV0136,15사단,2024-08-12 13:00:00,월간,0,없음,42.6,22.6,31.6,1,231,1,1,5.29
CHK000137,SRV0137,11사단,2024-08-23 14:00:00,일간,0,디스크,19.2,28.5,50.2,1,288,1,1,4.07
CHK000138,SRV0138,20사단,2024-07-14 15:00:00,월간,1,CPU과부하,28.1,25.6,24.8,0,106,1,1,0.85
CHK000139,SRV0139,22사단,2024-08-24 14:00:00,주간,0,CPU과부하,12.7,28.9,34.2,0,522,1,1,6.2
CHK000140,SRV0140,25사단,2024-09-01 18:00:00,월간,0,전력,25.4,37.1,16.8,0,600,0,1,1.31
CHK000141,SRV0141,19사단,2024-09-29 08:00:00,월간,1,없음,38.0,46.1,39.7,1,359,1,1,1.12
CHK000142,SRV0142,정보통신대,2024-10-09 04:00:00,주간,1,전력,34.8,59.7,27.7,0,52,0,1,3.18
CHK000143,SRV0143,정보통신대,2024-10-15 19:00:00,월간,1,CPU과부하,24.6,28.9,24.8,1,152,0,0,6.98
CHK000144,SRV0144,22사단,2024-07-28 03:00:00,월간,0,CPU과부하,25.1,42.0,29.5,0,105,1,0,2.46
CHK000145,SRV0145,17사단,2024-10-24 17:00:00,주간,0,디스크,49.7,35.8,24.8,0,115,1,0,4.68
CHK000146,SRV0146,12사단,2024-09-27 02:00:00,일간,0,CPU과부하,23.9,29.4,28.7,0,51,1,1,2.14
CHK000147,SRV0147,13사단,2024-09-16 06:00:00,월간,1,CPU과부하,14.4,23.7,44.6,1,118,1,0,2.26
CHK000148,SRV0148,정보통신대,2024-09-28 07:00:00,주간,0,없음,21.5,100.0,44.5,0,376,0,0,4.41
CHK000149,SRV0149,15사단,2024-07-15 06:00:00,주간,1,없음,18.3,54.7,24.3,0,71,1,0,1.8
CHK000150,SRV0150,정보통신대,2024-07-17 21:00:00,주간,1,디스크,19.0,52.8,29.5,1,60,1,0,1.35
CHK000151,SRV0151,정보통신대,2024-10-26 11:00:00,일간,0,전력,27.3,47.6,37.2,1,233,0,0,1.45
CHK000152,SRV0152,정보통신대,2024-08-25 13:00:00,일간,0,전력,17.0,27.2,25.1,1,135,0,1,0.85
CHK000153,SRV0153,12사단,2024-12-22 14:00:00,월간,0,없음,29.9,17.2,47.2,1,338,1,1,4.33
CHK000154,SRV0154,12사단,2024-10-09 15:00:00,주간,1,디스크,31.1,31.9,32.0,0,190,0,0,2.14
CHK000155,SRV0155,15사단,2024-07-02 19:00:00,주간,0,전력,23.8,28.6,27.2,0,85,1,1,4.12
CHK000156,SRV0156,11사단,2024-09-30 08:00:00,주간,0,전력,18.0,38.3,21.3,0,192,0,1,2.63
CHK000157,SRV0157,11사단,2024-12-29 08:00:00,주간,0,없음,41.1,38.4,30.1,1,204,1,1,3.61
CHK000158,SRV0158,12사단,2024-12-11 14:00:00,월간,1,CPU과부하,19.3,37.9,22.0,0,167,0,0,4.67
CHK000159,SRV0159,22사단,2024-08-12 00:00:00,일간,0,전력,21.7,37.4,41.0,0,43,0,0,1.86
CHK000160,SRV0160,16사단,2024-08-19 00:00:00,주간,1,CPU과부하,31.0,18.7,12.9,1,191,0,1,11.47
CHK000161,SRV0161,14사단,2024-11-21 21:00:00,주간,1,없음,19.5,23.9,28.9,1,120,1,0,2.75
CHK000162,SRV0162,21사단,2024-09-20 21:00:00,주간,0,없음,28.9,27.4,20.2,0,134,0,1,4.19
CHK000163,SRV0163,정보통신대,2024-08-10 11:00:00,주간,0,전력,32.3,32.9,18.3,1,101,0,0,4.48
CHK000164,SRV0164,16사단,2024-11-24 17:00:00,주간,0,없음,21.0,30.2,13.9,0,145,0,1,1.64
CHK000165,SRV0165,15사단,2024-08-28 04:00:00,일간,0,전력,22.4,28.8,44.2,0,202,1,0,3.64
CHK000166,SRV0166,12사단,2024-12-09 06:00:00,월간,0,디스크,24.4,19.9,53.8,1,103,1,1,3.26
CHK000167,SRV0167,16사단,2024-10-31 09:00:00,주간,1,없음,23.5,32.9,49.6,1,99,1,1,1.92
CHK000168,SRV0168,21사단,2024-07-07 04:00:00,일간,1,디스크,33.3,33.7,39.5,0,122,0,0,2.43
CHK000169,SRV0169,기술지원대,2024-10-19 19:00:00,월간,0,디스크,33.4,38.9,19.9,0,91,1,1,5.7
CHK000170,SRV0170,기술지원대,2024-08-21 14:00:00,월간,1,전력,41.1,24.6,35.0,1,267,0,0,2.12
CHK000171,SRV0171,11사단,2024-07-24 13:00:00,일간,0,CPU과부하,25.1,29.3,26.7,1,115,1,0,1.4
CHK000172,SRV0172,19사단,2024-09-28 09:00:00,주간,0,전력,31.1,18.6,26.9,1,154,1,1,5.05
CHK000173,SRV0173,16사단,2024-07-17 20:00:00,월간,0,CPU과부하,41.5,26.6,46.2,1,94,0,1,3.02
CHK000174,SRV0174,기술지원대,2024-07-02 15:00:00,주간,1,없음,45.1,39.5,22.9,0,185,1,1,2.88
CHK000175,SRV0175,13사단,2024-07-27 08:00:00,월간,0,없음,55.6,34.7,20.2,0,86,0,1,8.07
CHK000176,SRV0176,14사단,2024-09-09 15:00:00,주간,0,CPU과부하,32.1,25.5,25.2,1,69,1,1,6.14
CHK000177,SRV0177,13사단,2024-10-26 08:00:00,일간,0,CPU과부하,31.0,22.3,16.6,1,241,1,0,1.66
CHK000178,SRV0178,17사단,2024-09-24 22:00:00,주간,0,전력,16.4,36.0,7.3,1,123,1,1,2.87
CHK000179,SRV0179,19사단,2024-09-11 23:00:00,월간,0,CPU과부하,26.0,41.1,32.1,0,96,0,0,2.01
CHK000180,SRV0180,11사단,2024-10-01 16:00:00,월간,1,없음,12.1,18.6,21.8,0,207,1,0,2.89
CHK000181,SRV0181,18사단,2024-09-22 06:00:00,일간,0,전력,9.0,18.7,40.0,0,101,1,1,1.58
CHK000182,SRV0182,17사단,2024-08-12 07:00:00,주간,1,전력,34.7,33.3,46.8,1,151,0,1,8.6
CHK000183,SRV0183,18사단,2024-07-07 18:00:00,월간,0,전력,21.5,43.6,12.6,0,63,1,0,4.6
CHK000184,SRV0184,11사단,2024-09-22 11:00:00,주간,0,디스크,16.2,97.2,35.3,1,48,0,0,3.07
CHK000185,SRV0185,21사단,2024-12-14 07:00:00,주간,1,없음,24.3,44.8,20.6,1,144,0,1,2.16
CHK000186,SRV0186,20사단,2024-11-12 05:00:00,일간,0,없음,24.3,27.5,31.0,0,438,1,1,2.98
CHK000187,SRV0187,13사단,2024-07-25 08:00:00,주간,0,없음,34.0,40.9,11.3,1,163,1,1,3.48
CHK000188,SRV0188,17사단,2024-08-28 12:00:00,주간,0,CPU과부하,23.8,32.3,40.3,0,71,0,0,2.25
CHK000189,SRV0189,기술지원대,2024-10-11 07:00:00,주간,0,CPU과부하,25.4,32.1,48.2,1,36,0,1,2.0
CHK000190,SRV0190,기술지원대,2024-09-24 16:00:00,주간,0,없음,9.7,35.8,45.0,0,134,1,1,4.67
CHK000191,SRV0191,정보통신대,2024-10-20 21:00:00,일간,1,없음,27.3,40.6,14.1,0,142,1,1,1.91
CHK000192,SRV0192,12사단,2024-10-06 07:00:00,일간,0,디스크,27.7,43.3,28.3,1,493,0,1,1.5
CHK000193,SRV0193,11사단,2024-10-21 12:00:00,주간,0,디스크,30.1,35.7,72.0,0,205,0,1,1.98
CHK000194,SRV0194,기술지원대,2024-11-23 23:00:00,월간,1,전력,10.6,39.3,23.6,0,125,1,0,7.79
CHK000195,SRV0195,22사단,2024-08-29 21:00:00,주간,1,CPU과부하,26.9,37.2,37.4,0,278,1,1,2.37
CHK000196,SRV0196,15사단,2024-08-29 09:00:00,주간,0,디스크,29.8,60.4,19.8,1,164,1,0,3.39
CHK000197,SRV0197,15사단,2024-07-02 01:00:00,주간,0,없음,43.1,50.2,18.3,1,100,1,0,1.67
CHK000198,SRV0198,19사단,2024-09-29 13:00:00,주간,1,CPU과부하,33.1,73.1,22.0,1,319,1,1,1.72
CHK000199,SRV0199,19사단,2024-08-17 06:00:00,월간,0,CPU과부하,51.4,28.1,38.0,1,182,0,0,2.06
CHK000200,SRV0200,13사단,2024-08-25 11:00:00,주간,0,CPU과부하,14.0,21.6,23.4,0,322,1,0,3.53
CHK000201,SRV0201,기술지원대,2024-08-24 13:00:00,일간,0,디스크,27.2,35.3,40.2,0,328,1,0,3.72
CHK000202,SRV0202,기술지원대,2024-07-04 03:00:00,주간,0,전력,21.5,28.1,16.8,0,157,1,1,2.55
CHK000203,SRV0203,13사단,2024-12-25 02:00:00,일간,0,CPU과부하,60.4,42.9,25.2,0,179,1,0,6.23
CHK000204,SRV0204,11사단,2024-07-01 16:00:00,주간,0,전력,27.1,29.8,44.4,1,69,0,1,1.86
CHK000205,SRV0205,21사단,2024-08-31 15:00:00,월간,1,전력,15.3,16.7,29.9,0,113,1,0,3.05
CHK000206,SRV0206,정보통신대,2024-08-31 04:00:00,주간,0,CPU과부하,15.4,43.4,31.5,0,78,0,1,4.65
CHK000207,SRV0207,18사단,2024-11-24 06:00:00,월간,0,디스크,23.8,46.1,18.8,1,31,0,0,1.56
CHK000208,SRV0208,14사단,2024-10-18 01:00:00,일간,1,CPU과부하,36.0,34.8,19.5,0,35,0,0,1.94
CHK000209,SRV0209,16사단,2024-12-24 15:00:00,주간,0,CPU과부하,12.3,31.4,15.9,0,120,1,1,2.39
CHK000210,SRV0210,18사단,2024-12-22 06:00:00,일간,0,없음,33.3,36.8,21.0,1,106,0,0,4.13
CHK000211,SRV0211,13사단,2024-09-29 08:00:00,월간,0,전력,32.6,27.4,29.9,0,110,0,0,4.36
CHK000212,SRV0212,기술지원대,2024-10-22 17:00:00,주간,0,CPU과부하,26.6,40.5,34.0,0,196,0,0,0.74
CHK000213,SRV0213,13사단,2024-09-27 23:00:00,주간,1,전력,9.3,15.7,14.7,0,137,0,0,2.26
CHK000214,SRV0214,24사단,2024-09-16 13:00:00,월간,0,디스크,40.0,33.2,25.9,1,363,0,0,2.9
CHK000215,SRV0215,12사단,2024-07-25 03:00:00,일간,0,CPU과부하,89.59935163884715,99.16057065621806,38.0,1,108,0,0,3.58
CHK000216,SRV0216,13사단,2024-11-09 14:00:00,월간,0,없음,24.2,58.8,24.5,1,151,0,0,4.48
CHK000217,SRV0217,기술지원대,2024-08-01 17:00:00,주간,1,CPU과부하,20.5,21.2,32.1,0,173,0,0,1.96
CHK000218,SRV0218,19사단,2024-09-16 00:00:00,주간,0,디스크,11.2,33.4,24.3,1,242,1,1,1.69
CHK000219,SRV0219,14사단,2024-10-14 19:00:00,월간,0,CPU과부하,97.85960869087606,87.51018135670387,42.8,1,116,1,1,3.14
CHK000220,SRV0220,11사단,2024-09-12 09:00:00,월간,0,없음,21.2,35.3,28.8,0,469,1,1,2.47
