emp_id,tier,region,mkt_budget,csat_score,sns_growth,retention_rate,monthly_sales
MK0088,Gold,충청,150.6,1.0,0.55,88.1,1788.5
MK0089,Bronze,충청,174.0,4.0,0.0,97.5,2351.8
MK0090,Gold,강원,172.3,1.0,2.97,67.9,1930.1
MK0091,Bronze,경상,183.3,1.0,7.25,52.6,1916.0
MK0092,Silver,충청,145.1,1.0,4.15,68.9,1740.4
MK0093,Platinum,충청,128.8,5.0,5.59,69.1,2130.9
MK0094,Bronze,충청,146.0,1.0,8.27,70.1,1863.5
MK0095,Bronze,전라,65.6,3.0,8.98,60.9,1532.1
MK0096,Silver,경상,77.6,3.0,4.79,77.8,1451.6
MK0097,Silver,강원,83.9,3.0,9.06,77.2,1802.8
MK0098,Platinum,전라,100.1,4.0,5.28,57.1,1640.9
MK0099,Platinum,전라,170.0,5.0,2.49,79.0,2283.9
MK0100,Bronze,전라,104.7,2.0,3.22,92.5,1736.4
MK0101,Bronze,경상,131.1,5.0,0.56,73.7,2062.5
MK0102,Gold,강원,215.0,2.0,2.34,68.6,2189.3
MK0103,Bronze,경상,132.2,5.0,3.93,70.6,2188.8
MK0104,Gold,강원,186.9,3.0,7.41,78.2,2278.3
MK0105,Gold,강원,103.3,4.0,10.16,54.7,1810.5
MK0106,Bronze,충청,139.7,5.0,0.85,73.6,2071.3
MK0107,Gold,전라,102.5,4.0,6.18,68.1,1841.8
MK0108,Bronze,충청,133.0,5.0,1.88,90.5,2257.8
MK0109,Silver,강원,192.0,3.0,6.42,70.3,2250.3
MK0110,Silver,충청,63.6,1.0,4.61,88.7,1416.2
MK0111,Silver,강원,171.7,3.0,0.0,61.0,1969.1
MK0112,Gold,경상,161.9,1.0,7.78,77.9,1838.7
MK0113,Gold,강원,120.3,5.0,3.18,75.2,1906.4
MK0114,Platinum,충청,77.7,2.0,3.4,63.3,1335.5
MK0115,Platinum,강원,153.6,2.0,1.79,73.8,1855.9
MK0116,Silver,강원,123.5,2.0,3.04,84.1,1783.3
MK0117,Bronze,전라,161.6,4.0,6.28,68.8,2235.6
MK0118,Gold,강원,151.1,3.0,4.43,55.1,1911.7
MK0119,Platinum,수도권,230.1,5.0,5.99,71.8,2895.6
MK0120,Silver,강원,138.0,3.0,6.09,63.0,1824.4
MK0121,Silver,충청,98.8,2.0,8.96,68.6,1561.2
MK0122,Silver,수도권,159.0,1.0,3.97,71.2,1734.9
MK0123,Bronze,강원,161.0,1.0,0.57,54.9,1643.1
MK0124,Gold,수도권,218.0,2.0,8.2,55.8,2408.0
MK0125,Silver,충청,191.8,5.0,4.01,76.8,2526.8
MK0126,Gold,경상,167.8,3.0,8.34,66.8,1993.5
MK0127,Gold,전라,223.2,5.0,6.15,46.4,2439.4
MK0128,Gold,강원,90.6,1.0,4.61,79.8,1395.9
MK0129,Silver,전라,118.0,1.0,6.05,74.7,1591.2
MK0130,Silver,강원,103.7,5.0,10.85,64.9,2031.8
MK0131,Gold,경상,130.5,1.0,11.23,58.8,1722.5
MK0132,Gold,충청,81.2,1.0,5.21,80.4,1396.3
MK0133,Silver,경상,181.8,3.0,5.48,75.5,2366.6
MK0134,Gold,경상,138.9,5.0,8.23,95.8,2420.9
MK0135,Bronze,충청,76.5,4.0,2.46,76.2,1579.4
MK0136,Gold,강원,99.2,1.0,6.0,75.9,1560.3
MK0137,Bronze,충청,165.7,5.0,4.92,70.3,2239.6
MK0138,Bronze,전라,191.9,5.0,5.94,80.2,2668.6
MK0139,Silver,전라,249.8,5.0,2.5,78.3,2920.8
MK0140,Bronze,전라,295.7,5.0,0.23,84.5,3192.0
MK0141,Bronze,수도권,170.7,2.0,0.0,66.8,2011.0
MK0142,Bronze,충청,100.5,5.0,1.65,67.6,1785.5
MK0143,Silver,수도권,43.4,2.0,3.62,67.2,1315.0
MK0144,Gold,경상,163.4,5.0,4.12,79.9,2386.3
MK0145,Bronze,전라,109.4,3.0,10.81,87.0,1935.2
MK0146,Gold,수도권,129.2,4.0,8.32,67.4,2072.6
MK0147,Gold,경상,119.4,4.0,2.11,67.8,1765.2
MK0148,Bronze,전라,143.0,4.0,6.04,75.1,2101.2
MK0149,Bronze,전라,203.3,4.0,3.78,69.5,2483.7
MK0150,Gold,강원,157.9,4.0,4.15,81.5,2306.5
MK0151,Gold,수도권,142.1,4.0,5.56,49.5,1888.9
MK0152,Silver,전라,98.2,1.0,6.86,63.7,1518.4
MK0153,Gold,전라,66.3,5.0,3.98,64.2,1736.7
MK0154,Bronze,충청,125.7,3.0,8.19,48.8,1887.1
MK0155,Silver,전라,147.3,2.0,1.57,62.4,1778.3
MK0156,Gold,수도권,238.4,3.0,5.02,62.8,2646.6
MK0157,Bronze,경상,156.5,5.0,12.79,70.0,2346.5
MK0158,Gold,수도권,199.1,5.0,5.67,83.1,2675.3
MK0159,Silver,전라,125.0,5.0,9.3,69.5,2131.6
MK0160,Gold,경상,90.8,3.0,5.27,61.7,1585.1
MK0161,Silver,전라,101.7,4.0,6.74,71.4,1835.0
MK0162,Silver,충청,113.7,2.0,4.83,82.5,1746.5
MK0163,Bronze,수도권,256.4,4.0,4.49,62.2,2907.0
MK0164,Bronze,수도권,108.9,4.0,2.66,62.9,1744.0
MK0165,Gold,강원,191.9,2.0,6.29,77.6,2298.5
MK0166,Bronze,경상,104.9,2.0,2.45,69.8,1522.9
MK0167,Bronze,수도권,196.6,1.0,7.0,78.5,2207.0
MK0168,Bronze,전라,169.2,1.0,8.26,71.9,2002.0
MK0169,Bronze,강원,142.2,3.0,6.1,79.0,2104.7
MK0170,Gold,충청,148.0,3.0,4.14,61.6,2011.5
MK0171,Silver,강원,117.3,1.0,6.36,71.9,1748.4
MK0172,Platinum,충청,172.3,3.0,4.07,69.9,2165.7
MK0173,Bronze,충청,127.3,4.0,7.81,59.8,2028.3
MK0174,Gold,수도권,88.7,2.0,0.0,56.4,1175.7
MK0175,Silver,충청,86.1,2.0,3.99,78.9,1523.6
MK0176,Silver,경상,158.6,2.0,0.0,68.5,1894.1
MK0177,Gold,전라,229.0,3.0,0.51,61.8,2424.9
MK0178,Platinum,강원,158.0,2.0,9.09,71.0,2079.2
MK0179,Gold,전라,144.1,4.0,7.69,83.3,2346.2
MK0180,Bronze,전라,164.3,2.0,2.84,49.2,1811.8
MK0181,Bronze,전라,215.3,3.0,0.49,57.0,2323.7
MK0182,Gold,강원,161.0,2.0,0.0,62.8,1812.0
MK0183,Bronze,전라,129.5,1.0,3.37,86.6,1710.3
MK0184,Gold,충청,205.3,4.0,12.26,74.8,2746.2
MK0185,Silver,수도권,171.4,2.0,6.3,79.7,1914.8
MK0186,Silver,강원,226.8,2.0,3.32,60.6,2312.6
MK0187,Gold,경상,159.2,4.0,6.4,60.8,1869.3
MK0188,Gold,수도권,88.8,5.0,0.32,76.5,1659.3
MK0189,Bronze,충청,81.6,4.0,4.11,72.6,1730.1
MK0190,Bronze,경상,232.5,5.0,5.3,77.5,2902.0
MK0191,Silver,수도권,236.2,5.0,4.74,70.1,2721.6
MK0192,Silver,충청,141.0,3.0,7.37,74.8,2002.2
MK0193,Bronze,강원,130.8,4.0,6.03,73.6,2179.4
MK0194,Silver,충청,223.1,2.0,7.0,79.8,2464.8
MK0195,Gold,강원,94.6,3.0,2.93,80.1,1868.4
MK0196,Gold,전라,105.3,3.0,7.69,55.8,1682.9
MK0197,Silver,수도권,182.2,5.0,9.89,49.5,2460.2
MK0198,Silver,전라,130.3,5.0,2.09,82.0,2284.5
MK0199,Bronze,경상,149.7,3.0,2.34,83.9,2073.2
MK0200,Silver,전라,141.8,4.0,9.01,61.8,2041.2
MK0201,Silver,전라,166.9,2.0,4.43,53.4,1854.0
MK0202,Silver,수도권,220.4,5.0,9.21,73.0,2844.0
MK0203,Gold,전라,154.5,3.0,3.67,81.3,1997.2
MK0204,Bronze,충청,182.2,3.0,9.37,90.0,2478.1
MK0205,Bronze,전라,47.5,4.0,5.39,77.2,1481.7
MK0206,Bronze,전라,147.6,4.0,5.77,68.3,2204.0
MK0207,Gold,충청,107.8,1.0,9.69,63.1,1570.5
MK0208,Silver,강원,89.1,2.0,3.91,72.1,1471.1
MK0209,Bronze,수도권,106.1,1.0,2.18,69.0,1407.7
MK0210,Gold,수도권,133.3,4.0,3.65,61.8,1949.9
MK0211,Silver,강원,195.8,1.0,6.36,92.5,2341.0
MK0212,Silver,전라,83.7,2.0,0.3,89.9,1430.8
MK0213,Platinum,충청,151.5,3.0,6.91,83.4,2101.4
MK0214,Bronze,충청,125.8,4.0,3.38,62.8,1973.0
MK0215,Bronze,강원,133.6,3.0,8.44,80.6,2051.2
MK0216,Silver,충청,200.1,5.0,0.0,78.4,2414.5
MK0217,Bronze,경상,176.9,5.0,2.64,76.4,2462.6
MK0218,Gold,전라,216.9,1.0,0.0,84.5,2242.9
MK0219,Bronze,경상,142.3,5.0,2.52,78.4,2092.7
MK0220,Bronze,경상,115.2,4.0,5.74,79.4,2025.9
