emp_id,region,call_count,visit_count,work_years,training_score,monthly_sales
SE0062,해외,94.0,12.0,2.0,89.7,1406.0
SE0063,지방,56.0,18.0,11.0,76.4,1374.2
SE0064,해외,116.0,46.0,6.0,82.2,2188.2
SE0065,지방,61.0,49.0,1.0,65.1,1535.1
SE0066,수도권,52.0,31.0,14.0,81.8,1776.1
SE0067,수도권,110.0,25.0,3.0,84.8,1689.8
SE0068,수도권,57.0,20.0,9.0,74.8,1291.7
SE0069,지방,27.0,32.0,3.0,74.8,1001.0
SE0070,수도권,66.0,31.0,14.0,75.2,1626.6
SE0071,해외,99.0,18.0,11.0,61.6,1557.5
SE0072,지방,38.0,6.0,12.0,70.2,947.6
SE0073,해외,66.0,11.0,7.0,70.2,1176.0
SE0074,해외,32.0,48.0,7.0,76.6,1496.8
SE0075,지방,88.0,23.0,9.0,84.0,1661.1
SE0076,수도권,67.0,26.0,11.0,59.3,1435.8
SE0077,해외,53.0,26.0,12.0,70.5,1519.3
SE0078,수도권,42.0,40.0,1.0,89.8,1360.5
SE0079,수도권,76.0,7.0,10.0,63.1,1259.1
SE0080,해외,86.0,8.0,2.0,62.1,1076.1
SE0081,지방,114.0,17.0,5.0,74.4,1678.3
SE0082,수도권,63.0,26.0,12.0,82.1,1587.9
SE0083,지방,36.0,35.0,4.0,72.1,1087.5
SE0084,지방,103.0,27.0,12.0,87.9,1942.7
SE0085,해외,82.0,24.0,7.0,82.3,1576.0
SE0086,해외,90.0,47.0,4.0,82.1,1805.4
SE0087,수도권,29.0,12.0,5.0,78.6,866.8
SE0088,수도권,51.0,30.0,8.0,99.9,1356.8
SE0089,지방,96.0,29.0,11.0,69.5,1931.1
SE0090,수도권,103.0,26.0,9.0,48.0,1803.3
SE0091,수도권,63.0,41.0,14.0,91.3,1869.8
SE0092,수도권,100.0,17.0,13.0,66.5,1756.8
SE0093,수도권,104.0,47.0,11.0,73.3,1982.8
SE0094,해외,58.0,19.0,9.0,87.7,1262.4
SE0095,수도권,109.0,29.0,5.0,52.8,1672.8
SE0096,수도권,48.0,28.0,6.0,57.0,1121.7
SE0097,해외,43.0,43.0,2.0,52.8,1312.5
SE0098,수도권,88.0,24.0,6.0,62.5,1666.5
SE0099,해외,83.0,17.0,13.0,77.3,1526.9
SE0100,수도권,33.0,5.0,6.0,78.3,742.6
SE0101,수도권,103.0,21.0,2.0,75.3,1532.9
SE0102,수도권,39.0,42.0,10.0,55.0,1582.9
SE0103,해외,100.0,5.0,14.0,44.3,1402.3
SE0104,지방,20.0,45.0,13.0,72.7,1509.4
SE0105,지방,99.0,29.0,4.0,66.3,1774.3
SE0106,수도권,98.0,11.0,7.0,77.5,1347.1
SE0107,수도권,98.0,18.0,8.0,80.4,1521.9
SE0108,지방,86.0,29.0,4.0,73.7,1510.1
SE0109,수도권,67.0,19.0,4.0,81.1,1216.7
SE0110,지방,90.0,9.0,4.0,74.8,1346.8
SE0111,해외,47.0,34.0,14.0,78.4,1623.2
SE0112,해외,98.0,35.0,11.0,63.5,1768.3
SE0113,지방,75.0,10.0,12.0,69.8,1433.0
SE0114,수도권,65.0,17.0,12.0,74.4,1381.7
SE0115,수도권,70.0,15.0,14.0,81.8,1628.3
SE0116,해외,76.0,34.0,2.0,67.3,1401.3
SE0117,지방,23.0,37.0,13.0,78.3,1363.6
SE0118,지방,33.0,37.0,1.0,68.8,1149.6
SE0119,지방,44.0,47.0,7.0,70.6,1597.1
SE0120,수도권,31.0,39.0,9.0,82.0,1441.3
SE0121,해외,63.0,19.0,6.0,48.1,1034.0
SE0122,해외,86.0,9.0,3.0,56.4,1196.4
SE0123,해외,85.0,32.0,3.0,54.2,1399.5
SE0124,해외,67.0,46.0,12.0,44.0,1792.3
SE0125,수도권,105.0,48.0,5.0,63.9,1872.3
SE0126,수도권,76.0,15.0,5.0,81.0,1340.2
SE0127,수도권,27.0,15.0,13.0,68.6,1020.1
SE0128,해외,96.0,6.0,3.0,74.4,1153.8
SE0129,지방,77.0,11.0,13.0,85.1,1564.5
SE0130,지방,83.0,29.0,13.0,87.9,1857.5
SE0131,해외,76.0,29.0,9.0,71.2,1551.1
SE0132,지방,75.0,21.0,3.0,88.2,1467.3
SE0133,해외,29.0,18.0,3.0,73.1,827.1
SE0134,해외,75.0,42.0,4.0,62.0,1607.1
SE0135,수도권,99.0,25.0,9.0,64.9,1735.2
SE0136,지방,50.0,41.0,3.0,54.2,1270.1
SE0137,해외,80.0,48.0,7.0,61.3,1862.2
SE0138,해외,23.0,19.0,2.0,67.7,734.8
SE0139,수도권,54.0,14.0,8.0,81.6,1161.7
SE0140,수도권,63.0,47.0,1.0,92.6,1703.6
SE0141,지방,118.0,33.0,10.0,55.4,1908.7
SE0142,해외,41.0,18.0,1.0,76.7,723.9
SE0143,수도권,47.0,32.0,3.0,59.5,1306.6
SE0144,지방,60.0,28.0,3.0,77.7,1495.9
SE0145,수도권,119.0,45.0,12.0,70.4,2260.5
SE0146,수도권,105.0,16.0,1.0,50.0,1182.6
SE0147,지방,23.0,49.0,7.0,83.1,1406.5
SE0148,지방,43.0,47.0,9.0,64.7,1544.1
SE0149,지방,102.0,13.0,8.0,65.6,1516.4
SE0150,수도권,25.0,12.0,10.0,59.2,810.6
SE0151,해외,105.0,28.0,12.0,64.1,1943.2
SE0152,수도권,48.0,7.0,6.0,77.1,1004.8
SE0153,해외,111.0,18.0,12.0,69.7,1697.9
SE0154,수도권,49.0,24.0,5.0,75.9,1248.1
SE0155,해외,63.0,48.0,14.0,76.3,2106.8
SE0156,지방,86.0,49.0,8.0,87.8,2027.1
SE0157,지방,32.0,11.0,11.0,67.9,977.7
SE0158,수도권,75.0,45.0,13.0,54.3,1881.2
SE0159,해외,70.0,9.0,12.0,84.8,1436.0
SE0160,수도권,98.0,38.0,12.0,68.0,1862.5
SE0161,지방,119.0,43.0,8.0,85.4,2208.6
SE0162,해외,86.0,45.0,1.0,76.6,1672.9
SE0163,해외,60.0,15.0,7.0,70.4,1339.2
SE0164,해외,60.0,45.0,3.0,76.2,1527.8
SE0165,수도권,61.0,10.0,13.0,95.4,1525.8
SE0166,해외,101.0,28.0,4.0,96.9,1649.4
SE0167,해외,52.0,26.0,4.0,72.8,1253.8
SE0168,수도권,36.0,19.0,4.0,73.9,995.2
SE0169,수도권,53.0,5.0,9.0,84.9,1023.1
SE0170,해외,22.0,39.0,8.0,61.9,1242.8
SE0171,수도권,30.0,20.0,14.0,76.0,1338.0
SE0172,지방,29.0,34.0,6.0,71.7,1161.5
SE0173,수도권,97.0,23.0,4.0,75.8,1419.4
SE0174,수도권,92.0,21.0,1.0,62.0,1342.6
SE0175,해외,89.0,44.0,1.0,52.9,1559.5
SE0176,수도권,66.0,9.0,6.0,47.1,1013.5
SE0177,해외,91.0,38.0,13.0,58.6,1932.1
SE0178,해외,36.0,38.0,8.0,66.5,1212.3
SE0179,수도권,110.0,22.0,13.0,68.5,1765.5
SE0180,수도권,70.0,16.0,2.0,95.2,1266.8
SE0181,해외,113.0,5.0,2.0,85.3,1352.2
SE0182,지방,35.0,47.0,12.0,60.5,1369.1
SE0183,수도권,69.0,47.0,2.0,76.2,1681.0
SE0184,해외,89.0,15.0,1.0,67.1,1268.1
SE0185,수도권,69.0,6.0,6.0,68.6,1039.5
SE0186,수도권,64.0,10.0,13.0,74.2,1238.4
SE0187,해외,36.0,8.0,10.0,79.4,1070.8
SE0188,수도권,58.0,42.0,2.0,67.9,1448.6
SE0189,지방,43.0,45.0,12.0,84.8,1887.9
SE0190,해외,50.0,11.0,12.0,58.3,1187.7
SE0191,지방,88.0,38.0,12.0,72.1,1961.4
SE0192,지방,83.0,13.0,13.0,100.0,1627.1
SE0193,지방,80.0,21.0,4.0,74.7,1441.8
SE0194,수도권,56.0,31.0,14.0,89.2,1723.2
SE0195,지방,115.0,37.0,5.0,73.1,2038.5
SE0196,해외,28.0,44.0,12.0,79.0,1492.8
SE0197,수도권,54.0,7.0,9.0,71.3,1048.7
SE0198,해외,31.0,13.0,11.0,70.0,995.2
SE0199,지방,53.0,17.0,9.0,62.6,1257.9
SE0200,지방,116.0,18.0,9.0,77.2,1916.1
