applicant_id,univ_tier,toeic_score,gpa,intern_count,cert_count,doc_pass
JB0073,2,820.0,3.19,0.0,5.0,1
JB0074,0,855.0,3.86,0.0,2.0,1
JB0075,0,753.0,3.8,3.0,0.0,1
JB0076,0,786.0,3.44,2.0,4.0,1
JB0077,0,717.0,3.24,0.0,0.0,1
JB0078,1,869.0,3.72,4.0,4.0,1
JB0079,1,674.0,3.58,1.0,0.0,1
JB0080,2,850.0,2.92,0.0,1.0,1
JB0081,1,763.0,3.47,4.0,3.0,1
JB0082,1,885.0,3.6,0.0,5.0,1
JB0083,2,848.0,3.14,2.0,2.0,1
JB0084,0,944.0,3.58,4.0,0.0,1
JB0085,0,846.0,2.92,2.0,1.0,0
JB0086,0,639.0,4.03,2.0,5.0,1
JB0087,1,774.0,4.0,1.0,4.0,1
JB0088,1,675.0,3.4,0.0,0.0,1
JB0089,0,733.0,3.65,2.0,2.0,1
JB0090,1,916.0,2.54,4.0,1.0,1
JB0091,0,837.0,3.04,0.0,1.0,1
JB0092,1,717.0,3.38,4.0,5.0,1
JB0093,1,689.0,3.07,2.0,3.0,0
JB0094,0,783.0,3.79,2.0,1.0,0
JB0095,0,671.0,4.3,0.0,3.0,1
JB0096,1,720.0,3.03,3.0,2.0,1
JB0097,0,808.0,3.17,0.0,0.0,1
JB0098,0,884.0,3.59,1.0,2.0,1
JB0099,0,835.0,4.14,3.0,1.0,1
JB0100,2,574.0,3.01,0.0,1.0,0
JB0101,2,807.0,3.6,2.0,5.0,1
JB0102,1,786.0,4.23,2.0,4.0,1
JB0103,0,817.0,2.84,0.0,0.0,0
JB0104,2,925.0,2.99,1.0,5.0,1
JB0105,2,594.0,3.33,1.0,3.0,1
JB0106,1,727.0,3.29,3.0,5.0,1
JB0107,1,833.0,3.83,4.0,4.0,1
JB0108,0,638.0,3.6,4.0,2.0,1
JB0109,0,913.0,2.79,0.0,3.0,0
JB0110,2,813.0,3.71,0.0,3.0,0
JB0111,1,856.0,3.27,0.0,4.0,1
JB0112,0,729.0,4.01,2.0,1.0,1
JB0113,0,853.0,3.25,0.0,1.0,0
JB0114,1,876.0,3.25,1.0,1.0,0
JB0115,0,801.0,3.72,4.0,1.0,1
JB0116,2,801.0,3.81,4.0,0.0,1
JB0117,2,804.0,3.68,4.0,0.0,1
JB0118,1,702.0,2.83,1.0,5.0,1
JB0119,1,767.0,3.72,3.0,0.0,1
JB0120,1,766.0,3.09,3.0,5.0,1
JB0121,1,815.0,3.59,0.0,0.0,0
JB0122,1,870.0,2.93,2.0,4.0,1
JB0123,0,685.0,3.68,2.0,1.0,0
JB0124,1,769.0,3.18,1.0,3.0,1
JB0125,0,913.0,2.99,3.0,1.0,1
JB0126,1,713.0,3.79,3.0,2.0,1
JB0127,0,706.0,3.6,2.0,2.0,0
JB0128,0,798.0,3.25,3.0,3.0,1
JB0129,0,856.0,4.08,3.0,2.0,1
JB0130,1,781.0,3.32,2.0,3.0,1
JB0131,0,900.0,3.51,1.0,4.0,1
JB0132,2,857.0,3.61,3.0,2.0,1
JB0133,1,856.0,3.25,3.0,2.0,1
JB0134,0,830.0,3.69,4.0,0.0,1
JB0135,1,989.0,3.29,0.0,2.0,1
JB0136,0,762.0,3.34,2.0,0.0,1
JB0137,2,600.0,4.05,4.0,1.0,1
JB0138,1,924.0,3.08,2.0,5.0,1
JB0139,2,739.0,2.53,4.0,0.0,0
JB0140,0,790.0,4.14,0.0,2.0,1
JB0141,1,898.0,4.5,0.0,5.0,1
JB0142,1,636.0,3.34,3.0,5.0,1
JB0143,2,667.0,2.73,1.0,0.0,0
JB0144,1,636.0,3.38,2.0,0.0,1
JB0145,1,709.0,3.39,2.0,2.0,0
JB0146,0,820.0,3.42,2.0,3.0,1
JB0147,0,827.0,3.05,4.0,5.0,1
JB0148,1,805.0,3.73,0.0,1.0,0
JB0149,1,653.0,3.71,3.0,0.0,1
JB0150,0,572.0,2.9,4.0,1.0,1
JB0151,2,785.0,3.78,3.0,5.0,1
JB0152,2,738.0,4.32,1.0,0.0,1
JB0153,0,821.0,3.57,0.0,2.0,0
JB0154,1,843.0,3.37,3.0,0.0,1
JB0155,0,792.0,3.44,2.0,0.0,0
JB0156,1,848.0,3.75,0.0,5.0,1
JB0157,0,801.0,2.81,1.0,0.0,0
JB0158,1,828.0,3.57,4.0,1.0,1
JB0159,1,717.0,3.34,1.0,5.0,1
JB0160,2,764.0,4.24,0.0,3.0,1
JB0161,0,798.0,3.43,3.0,0.0,1
JB0162,2,854.0,4.17,0.0,2.0,1
JB0163,0,745.0,3.06,4.0,5.0,1
JB0164,0,827.0,3.73,4.0,2.0,1
JB0165,1,756.0,3.63,4.0,3.0,1
JB0166,0,769.0,3.15,4.0,3.0,1
JB0167,2,855.0,3.57,1.0,3.0,0
JB0168,2,601.0,3.99,1.0,1.0,1
JB0169,0,663.0,3.37,1.0,5.0,1
JB0170,2,647.0,2.82,2.0,5.0,1
JB0171,0,570.0,3.49,4.0,0.0,1
JB0172,1,719.0,3.14,3.0,4.0,1
JB0173,0,847.0,3.36,3.0,4.0,0
JB0174,2,754.0,3.47,4.0,4.0,1
JB0175,0,798.0,2.82,3.0,2.0,1
JB0176,0,878.0,2.85,1.0,2.0,1
JB0177,1,899.0,3.69,2.0,5.0,1
JB0178,2,774.0,3.29,2.0,0.0,1
JB0179,2,902.0,2.47,0.0,4.0,1
JB0180,1,788.0,3.81,3.0,5.0,1
JB0181,2,705.0,3.61,3.0,4.0,1
JB0182,2,727.0,3.21,3.0,2.0,1
JB0183,1,647.0,2.97,2.0,3.0,1
JB0184,0,700.0,3.83,3.0,0.0,1
JB0185,2,748.0,3.64,4.0,5.0,1
JB0186,1,852.0,4.45,2.0,2.0,1
JB0187,0,935.0,3.67,2.0,0.0,1
JB0188,0,656.0,3.66,0.0,4.0,1
JB0189,1,815.0,3.43,3.0,3.0,1
JB0190,0,686.0,3.83,4.0,3.0,1
JB0191,2,823.0,3.75,3.0,0.0,1
JB0192,0,768.0,4.0,4.0,4.0,1
JB0193,0,615.0,3.29,4.0,3.0,1
JB0194,2,864.0,3.33,3.0,4.0,1
JB0195,0,726.0,3.31,2.0,4.0,1
JB0196,0,732.0,3.82,0.0,1.0,1
JB0197,1,684.0,4.1,0.0,1.0,1
JB0198,2,721.0,3.32,1.0,5.0,1
JB0199,0,819.0,3.33,2.0,3.0,1
JB0200,0,763.0,3.63,3.0,2.0,1
JB0201,2,810.0,3.4,2.0,1.0,1
JB0202,2,813.0,3.88,0.0,3.0,1
JB0203,1,899.0,2.6,1.0,4.0,1
JB0204,0,749.0,3.17,4.0,0.0,1
JB0205,0,647.0,3.19,4.0,3.0,0
JB0206,0,876.0,2.57,1.0,5.0,1
JB0207,0,750.0,3.11,4.0,1.0,1
JB0208,1,880.0,3.13,3.0,1.0,0
JB0209,0,815.0,3.42,4.0,5.0,1
JB0210,1,768.0,3.95,4.0,0.0,1
JB0211,1,811.0,3.4,3.0,2.0,1
JB0212,1,956.0,3.09,1.0,2.0,1
JB0213,0,967.0,3.48,3.0,4.0,1
JB0214,2,786.0,3.92,1.0,0.0,1
JB0215,1,794.0,3.11,1.0,2.0,1
JB0216,1,877.0,3.14,3.0,0.0,1
JB0217,0,704.0,3.72,2.0,4.0,1
JB0218,0,810.0,3.41,2.0,3.0,1
JB0219,2,778.0,3.76,1.0,2.0,1
JB0220,0,808.0,3.49,2.0,2.0,1
JB0221,0,705.0,3.78,0.0,0.0,0
JB0222,1,637.0,3.09,3.0,5.0,1
JB0223,1,593.0,3.5,2.0,3.0,1
JB0224,2,679.0,3.42,4.0,1.0,1
JB0225,0,739.0,3.01,2.0,2.0,1
JB0226,2,754.0,2.87,2.0,4.0,1
JB0227,0,954.0,3.77,0.0,4.0,1
JB0228,1,880.0,3.36,0.0,2.0,0
JB0229,1,693.0,3.09,1.0,1.0,0
JB0230,0,811.0,3.46,1.0,3.0,1
JB0231,0,743.0,3.95,1.0,3.0,1
JB0232,1,754.0,2.59,1.0,3.0,1
JB0233,2,797.0,2.9,3.0,0.0,1
JB0234,1,836.0,3.13,0.0,2.0,1
JB0235,2,749.0,4.08,1.0,3.0,1
JB0236,2,876.0,3.61,0.0,5.0,1
JB0237,1,677.0,3.81,1.0,3.0,1
JB0238,2,781.0,3.04,3.0,2.0,1
JB0239,0,990.0,3.05,0.0,3.0,0
JB0240,0,800.0,3.68,1.0,1.0,1
JB0241,2,909.0,3.52,0.0,0.0,1
JB0242,2,788.0,3.72,4.0,4.0,1
JB0243,0,832.0,3.42,3.0,5.0,1
JB0244,1,775.0,3.61,1.0,5.0,1
JB0245,1,765.0,3.56,0.0,3.0,0
JB0246,2,710.0,3.81,0.0,0.0,1
JB0247,1,819.0,3.82,2.0,5.0,0
JB0248,1,703.0,2.85,3.0,2.0,1
JB0249,0,840.0,2.6,2.0,1.0,1
JB0250,1,878.0,3.9,4.0,5.0,1
