applicant_id,company_type,age,gpa,toeic_score,has_intern,final_pass
HR0061,중견기업,32.0,3.42,866.0,있음,1
HR0062,중견기업,29.0,3.97,729.0,있음,1
HR0063,중견기업,30.0,3.8,662.0,없음,0
HR0064,스타트업,28.0,4.23,538.0,있음,0
HR0065,중견기업,27.0,3.79,744.0,없음,0
HR0066,중견기업,24.0,2.87,990.0,없음,0
HR0067,중견기업,31.0,3.47,827.0,있음,1
HR0068,대기업,31.0,3.03,787.0,없음,0
HR0069,대기업,23.0,3.29,855.0,없음,0
HR0070,중견기업,30.0,4.1,657.0,있음,1
HR0071,대기업,23.0,3.76,812.0,없음,1
HR0072,중견기업,30.0,3.22,798.0,있음,1
HR0073,스타트업,31.0,3.09,783.0,없음,0
HR0074,대기업,24.0,3.51,918.0,없음,0
HR0075,대기업,27.0,3.01,861.0,있음,1
HR0076,대기업,24.0,3.23,884.0,없음,0
HR0077,대기업,28.0,3.62,770.0,있음,1
HR0078,중견기업,32.0,3.96,866.0,없음,1
HR0079,중견기업,23.0,3.74,928.0,없음,1
HR0080,스타트업,26.0,2.58,708.0,있음,0
HR0081,중견기업,32.0,3.62,715.0,있음,1
HR0082,중견기업,26.0,3.53,904.0,있음,1
HR0083,스타트업,24.0,3.67,774.0,있음,0
HR0084,대기업,27.0,4.15,955.0,있음,1
HR0085,대기업,28.0,2.67,775.0,있음,0
HR0086,대기업,29.0,3.26,956.0,있음,1
HR0087,중견기업,26.0,3.74,801.0,있음,1
HR0088,중견기업,32.0,2.87,812.0,없음,0
HR0089,대기업,28.0,4.09,959.0,없음,1
HR0090,중견기업,25.0,3.65,759.0,없음,0
HR0091,대기업,32.0,3.84,768.0,있음,0
HR0092,중견기업,32.0,3.27,752.0,없음,1
HR0093,중견기업,27.0,3.83,828.0,있음,1
HR0094,중견기업,23.0,3.93,657.0,있음,1
HR0095,대기업,28.0,3.59,882.0,있음,0
HR0096,중견기업,28.0,3.59,744.0,없음,0
HR0097,중견기업,24.0,3.61,888.0,있음,1
HR0098,대기업,29.0,3.15,643.0,있음,0
HR0099,대기업,31.0,3.44,752.0,없음,1
HR0100,스타트업,24.0,3.44,647.0,있음,0
HR0101,스타트업,30.0,3.65,720.0,있음,0
HR0102,중견기업,24.0,3.9,811.0,없음,0
HR0103,대기업,30.0,3.08,821.0,있음,1
HR0104,스타트업,27.0,3.45,768.0,있음,0
HR0105,스타트업,23.0,4.09,776.0,없음,1
HR0106,중견기업,32.0,3.2,807.0,없음,0
HR0107,중견기업,24.0,3.17,704.0,있음,1
HR0108,대기업,28.0,3.58,893.0,없음,0
HR0109,대기업,24.0,3.84,877.0,있음,1
HR0110,스타트업,32.0,3.5,823.0,있음,1
HR0111,중견기업,30.0,4.03,837.0,있음,1
HR0112,대기업,31.0,3.84,857.0,있음,1
HR0113,대기업,27.0,3.84,990.0,없음,1
HR0114,중견기업,27.0,3.72,783.0,없음,0
HR0115,대기업,29.0,4.43,801.0,있음,1
HR0116,스타트업,30.0,3.42,726.0,있음,0
HR0117,스타트업,31.0,2.7,702.0,있음,0
HR0118,중견기업,23.0,4.14,684.0,없음,0
HR0119,중견기업,29.0,3.32,714.0,있음,1
HR0120,중견기업,24.0,3.54,784.0,없음,0
HR0121,중견기업,25.0,4.02,818.0,있음,1
HR0122,중견기업,31.0,2.86,794.0,있음,0
HR0123,대기업,25.0,3.0,748.0,없음,1
HR0124,중견기업,30.0,2.86,867.0,없음,0
HR0125,대기업,27.0,3.18,893.0,있음,1
HR0126,중견기업,25.0,3.68,776.0,없음,0
HR0127,대기업,26.0,3.71,766.0,없음,0
HR0128,대기업,28.0,3.61,874.0,있음,1
HR0129,대기업,30.0,2.93,845.0,있음,1
HR0130,중견기업,29.0,2.58,667.0,있음,1
HR0131,대기업,32.0,3.52,807.0,없음,1
HR0132,스타트업,31.0,3.31,812.0,있음,0
HR0133,중견기업,30.0,3.68,714.0,있음,1
HR0134,대기업,29.0,3.78,830.0,있음,1
HR0135,중견기업,25.0,3.56,666.0,없음,0
HR0136,대기업,27.0,3.8,949.0,있음,0
HR0137,스타트업,24.0,3.59,896.0,없음,1
HR0138,중견기업,26.0,3.71,769.0,있음,1
HR0139,스타트업,32.0,3.22,821.0,없음,0
HR0140,대기업,27.0,3.43,620.0,있음,1
HR0141,중견기업,24.0,3.58,692.0,있음,0
HR0142,중견기업,29.0,3.83,765.0,없음,1
HR0143,스타트업,32.0,3.34,699.0,없음,1
HR0144,중견기업,31.0,3.71,851.0,있음,1
HR0145,중견기업,25.0,3.39,960.0,있음,1
HR0146,대기업,27.0,3.45,704.0,없음,0
HR0147,대기업,28.0,3.83,767.0,없음,1
HR0148,중견기업,25.0,2.7,810.0,있음,0
HR0149,중견기업,25.0,2.98,927.0,있음,1
HR0150,대기업,25.0,2.91,729.0,없음,0
HR0151,스타트업,32.0,2.57,811.0,없음,0
HR0152,스타트업,30.0,3.23,945.0,없음,0
HR0153,대기업,31.0,3.8,683.0,있음,0
HR0154,중견기업,31.0,3.39,681.0,있음,0
HR0155,대기업,32.0,3.58,781.0,없음,0
HR0156,중견기업,24.0,3.94,746.0,없음,1
HR0157,대기업,31.0,4.03,907.0,없음,0
HR0158,중견기업,23.0,3.47,811.0,있음,0
HR0159,중견기업,27.0,4.04,639.0,있음,1
HR0160,스타트업,28.0,3.54,834.0,없음,0
HR0161,대기업,26.0,3.17,784.0,있음,1
HR0162,스타트업,24.0,3.26,898.0,없음,1
HR0163,대기업,24.0,2.91,801.0,있음,1
HR0164,대기업,31.0,3.14,780.0,없음,0
HR0165,중견기업,26.0,3.36,836.0,없음,1
HR0166,중견기업,26.0,3.82,855.0,있음,0
HR0167,스타트업,32.0,4.19,828.0,있음,1
HR0168,스타트업,24.0,2.95,647.0,없음,0
HR0169,대기업,32.0,3.66,880.0,있음,1
HR0170,스타트업,32.0,3.08,702.0,있음,1
HR0171,대기업,28.0,3.69,848.0,없음,0
HR0172,중견기업,24.0,3.45,669.0,없음,0
HR0173,대기업,24.0,2.77,876.0,있음,0
HR0174,스타트업,25.0,3.87,721.0,있음,1
HR0175,대기업,28.0,3.26,727.0,있음,0
HR0176,대기업,24.0,3.29,904.0,있음,1
HR0177,중견기업,27.0,3.07,811.0,있음,0
HR0178,스타트업,24.0,3.24,738.0,있음,1
HR0179,스타트업,28.0,3.67,913.0,없음,1
HR0180,중견기업,23.0,3.42,753.0,있음,0
