supply_id,unit_code,item_code,item_name,category,stock_level,avg_daily_usage,weekend_usage_ratio,delivery_lead_time,requested_quantity,reorder_threshold,auto_reorder_flag,request_date,is_weekend,is_weekend_check
SUPP00037,15C,ITEM001,Toilet Paper,위생,14.747351180652807,10.639362486710818,0.43,2,67,30,1,2024-06-20,0,False
SUPP00038,18C,ITEM016,Printer Ink,사무,19.0,3.9,0.24,5,30,20,1,2024-02-09,0,False
SUPP00039,40A,ITEM001,Toilet Paper,위생,7.061478282474702,9.610493256220566,0.34,3,68,30,1,2024-02-06,0,False
SUPP00040,40A,ITEM017,Combat Boots,의복,21.0,4.3,0.25,3,30,20,1,2024-03-18,0,False
SUPP00041,21C,ITEM006,Pencil,사무,30.0,6.3,0.18,2,42,20,1,2024-01-16,0,False
SUPP00042,15A,ITEM002,Medical Gloves,의료,44.234418870631224,1.1149068775971431,0.27,7,10,15,0,2024-02-12,0,False
SUPP00043,29B,ITEM017,Combat Boots,의복,23.0,4.7,0.43,3,31,20,1,2024-03-03,1,True
SUPP00044,29B,ITEM006,Pencil,사무,30.0,6.2,0.34,3,46,20,1,2024-01-15,0,False
SUPP00045,21C,ITEM014,Canned Meat,식량,22.0,4.5,0.44,2,35,20,1,2024-06-20,0,False
SUPP00046,11A,ITEM018,Bandage,의료,21.0,4.3,0.31,6,32,10,1,2024-05-16,0,False
SUPP00047,11A,ITEM006,Pencil,사무,30.0,6.3,0.2,6,40,20,1,2024-03-05,0,False
SUPP00048,21C,ITEM010,Mask,위생,32.0,6.7,0.13,2,46,20,1,2024-02-13,0,False
SUPP00049,11A,ITEM018,Bandage,의료,25.0,5.1,0.43,6,41,10,1,2024-01-20,1,True
SUPP00050,12C,ITEM009,First Aid Kit,의료,27.0,5.5,0.4,4,29,16,1,2024-04-28,1,True
SUPP00051,29B,ITEM008,Rice Pack,식량,25.0,5.2,0.19,3,37,20,1,2024-04-21,1,True
SUPP00052,31A,ITEM010,Mask,위생,30.0,6.3,0.33,4,47,20,1,2024-05-02,0,False
SUPP00053,18A,ITEM017,Combat Boots,의복,38.0,7.9,0.36,5,57,20,1,2024-06-09,1,True
SUPP00054,15C,ITEM006,Pencil,사무,20.0,4.1,0.2,2,39,20,1,2024-03-20,0,False
SUPP00055,12C,ITEM014,Canned Meat,식량,20.0,4.2,0.33,4,21,20,1,2024-04-09,0,False
SUPP00056,17C,ITEM006,Pencil,사무,30.0,6.2,0.14,4,37,20,1,2024-01-06,1,True
SUPP00057,12C,ITEM007,Shirt,의복,11.0,2.3,0.33,4,17,20,1,2024-03-23,1,True
SUPP00058,31A,ITEM012,Hand Sanitizer,위생,17.0,3.6,0.17,4,29,20,1,2024-01-31,0,False
SUPP00059,17C,ITEM003,Soap,위생,29.330299890298768,3.530527846030696,0.11,4,31,20,0,2024-03-06,0,False
SUPP00060,15C,ITEM014,Canned Meat,식량,14.0,2.9,0.13,2,26,20,1,2024-01-18,0,False
SUPP00061,31A,ITEM019,Flashlight,사무,24.0,5.0,0.49,4,32,20,1,2024-01-28,1,True
SUPP00062,36B,ITEM016,Printer Ink,사무,25.0,5.2,0.12,2,35,20,1,2024-03-08,0,False
SUPP00063,18A,ITEM007,Shirt,의복,20.0,4.1,0.42,5,32,20,1,2024-04-23,0,False
SUPP00064,15C,ITEM008,Rice Pack,식량,33.0,6.8,0.14,2,45,20,1,2024-06-21,0,False
SUPP00065,29B,ITEM018,Bandage,의료,22.0,4.5,0.12,3,36,10,1,2024-02-27,0,False
SUPP00066,11A,ITEM013,Blanket,의복,40.0,8.2,0.25,6,60,20,1,2024-06-23,1,True
SUPP00067,36B,ITEM009,First Aid Kit,의료,6.0,1.4,0.17,2,10,16,1,2024-06-28,0,False
SUPP00068,15A,ITEM010,Mask,위생,14.0,2.9,0.26,7,21,20,1,2024-06-12,0,False
SUPP00069,15C,ITEM009,First Aid Kit,의료,5.0,1.1,0.24,2,10,16,1,2024-05-08,0,False
SUPP00070,15A,ITEM015,USB Drive,사무,15.0,3.2,0.49,7,17,20,1,2024-02-08,0,False
SUPP00071,17C,ITEM020,Toothpaste,위생,29.0,6.1,0.16,4,40,20,1,2024-04-15,0,False
SUPP00072,36B,ITEM002,Medical Gloves,의료,41.32994347331011,2.668904446327663,0.27,2,30,15,0,2024-01-01,0,False
SUPP00073,18A,ITEM013,Blanket,의복,37.0,7.6,0.13,5,53,20,1,2024-03-15,0,False
SUPP00074,29B,ITEM002,Medical Gloves,의료,30.23561595518027,2.8132520216474872,0.17,3,10,15,0,2024-03-28,0,False
SUPP00075,21C,ITEM019,Flashlight,사무,30.0,6.3,0.15,2,35,20,1,2024-05-21,0,False
SUPP00076,29B,ITEM002,Medical Gloves,의료,37.48604016535989,1.5806851836673388,0.39,3,35,15,0,2024-05-30,0,False
SUPP00077,31A,ITEM003,Soap,위생,30.812655507122052,3.558287975155711,0.43,4,36,20,0,2024-06-19,0,False
SUPP00078,29B,ITEM006,Pencil,사무,19.0,4.0,0.29,3,28,20,1,2024-05-29,0,False
SUPP00079,19C,ITEM003,Soap,위생,29.281605181284053,4.7801949590906885,0.17,6,33,20,0,2024-02-29,0,False
SUPP00080,33B,ITEM010,Mask,위생,17.0,3.6,0.12,6,25,20,1,2024-06-03,0,False
SUPP00081,21C,ITEM006,Pencil,사무,29.0,6.1,0.43,2,41,20,1,2024-05-09,0,False
SUPP00082,12C,ITEM016,Printer Ink,사무,13.0,2.8,0.34,4,21,20,1,2024-06-15,1,True
SUPP00083,11A,ITEM017,Combat Boots,의복,29.0,6.0,0.19,6,44,20,1,2024-06-27,0,False
SUPP00084,18C,ITEM019,Flashlight,사무,19.0,3.9,0.28,5,32,20,1,2024-04-19,0,False
SUPP00085,18A,ITEM003,Soap,위생,34.164432265348495,4.121833744900487,0.49,5,42,20,0,2024-01-19,0,False
SUPP00086,36B,ITEM018,Bandage,의료,22.0,4.6,0.41,2,32,10,1,2024-03-02,1,True
SUPP00087,33B,ITEM007,Shirt,의복,9.0,2.0,0.12,6,18,20,1,2024-03-11,0,False
SUPP00088,18A,ITEM009,First Aid Kit,의료,21.0,4.4,0.33,5,28,16,1,2024-04-20,1,True
SUPP00089,36B,ITEM020,Toothpaste,위생,35.0,7.3,0.22,2,59,20,1,2024-05-12,1,True
SUPP00090,11A,ITEM012,Hand Sanitizer,위생,18.0,3.7,0.35,6,22,20,1,2024-03-12,0,False
SUPP00091,39C,ITEM005,Notebook,사무,8.0,1.8,0.33,5,10,20,1,2024-03-18,0,False
SUPP00092,39C,ITEM003,Soap,위생,24.250637500915754,3.134886562277111,0.19,5,14,20,0,2024-04-09,0,False
SUPP00093,15A,ITEM011,Glasses,의복,21.0,4.3,0.42,7,26,20,1,2024-03-11,0,False
SUPP00094,18A,ITEM004,Canned Food,식량,33.0,6.9,0.12,5,46,20,1,2024-01-07,1,True
SUPP00095,39C,ITEM005,Notebook,사무,2.0,0.5,0.19,5,10,20,1,2024-02-19,0,False
SUPP00096,19C,ITEM001,Toilet Paper,위생,5.358344604018175,8.067262212957846,0.48,6,89,30,1,2024-02-15,0,False
SUPP00097,21C,ITEM018,Bandage,의료,25.0,5.2,0.27,2,39,10,1,2024-03-12,0,False
SUPP00098,36B,ITEM012,Hand Sanitizer,위생,20.0,4.2,0.42,2,34,20,1,2024-03-16,1,True
SUPP00099,15A,ITEM013,Blanket,의복,24.0,4.9,0.42,7,34,20,1,2024-03-14,0,False
SUPP00100,29B,ITEM009,First Aid Kit,의료,23.0,4.8,0.3,3,30,16,1,2024-05-21,0,False
SUPP00101,36B,ITEM002,Medical Gloves,의료,40.304751788591695,1.1846099866423023,0.18,2,35,15,0,2024-03-13,0,False
SUPP00102,15A,ITEM005,Notebook,사무,11.0,2.3,0.14,7,15,20,1,2024-04-11,0,False
SUPP00103,11A,ITEM013,Blanket,의복,19.0,4.0,0.29,6,31,20,1,2024-04-03,0,False
SUPP00104,18A,ITEM016,Printer Ink,사무,25.0,5.2,0.3,5,31,20,1,2024-03-09,1,True
SUPP00105,11A,ITEM016,Printer Ink,사무,16.0,3.4,0.47,6,17,20,1,2024-03-05,0,False
SUPP00106,21C,ITEM003,Soap,위생,25.1905864160256,3.9181444733962323,0.27,2,41,20,0,2024-03-02,1,True
SUPP00107,21C,ITEM004,Canned Food,식량,46.0,9.5,0.17,2,68,20,1,2024-01-20,1,True
SUPP00108,33B,ITEM011,Glasses,의복,32.0,6.7,0.46,6,45,20,1,2024-06-02,1,True
SUPP00109,11A,ITEM014,Canned Meat,식량,19.0,4.0,0.4,6,27,20,1,2024-02-13,0,False
SUPP00110,31A,ITEM003,Soap,위생,26.084119029819227,4.158520738478165,0.13,4,38,20,0,2024-03-02,1,True
SUPP00111,29B,ITEM016,Printer Ink,사무,29.0,5.9,0.27,3,38,20,1,2024-04-16,0,False
SUPP00112,15C,ITEM015,USB Drive,사무,22.0,4.6,0.45,2,34,20,1,2024-05-04,1,True
SUPP00113,11A,ITEM010,Mask,위생,29.0,6.1,0.25,6,42,20,1,2024-02-14,0,False
SUPP00114,33B,ITEM009,First Aid Kit,의료,23.0,4.8,0.37,6,37,16,1,2024-01-11,0,False
SUPP00115,17C,ITEM011,Glasses,의복,30.0,6.3,0.2,4,30,20,1,2024-06-10,0,False
SUPP00116,19C,ITEM016,Printer Ink,사무,16.0,3.4,0.15,6,24,20,1,2024-03-28,0,False
SUPP00117,36B,ITEM010,Mask,위생,22.0,4.6,0.25,2,36,20,1,2024-02-15,0,False
SUPP00118,21C,ITEM017,Combat Boots,의복,27.0,5.6,0.41,2,28,20,1,2024-04-21,1,True
SUPP00119,17C,ITEM019,Flashlight,사무,18.0,3.8,0.41,4,21,20,1,2024-03-21,0,False
SUPP00120,33B,ITEM002,Medical Gloves,의료,44.78836743352278,2.530873885140249,0.2,6,22,15,0,2024-02-01,0,False
SUPP00121,15A,ITEM002,Medical Gloves,의료,46.10667238978059,2.0992107425442663,0.18,7,23,15,0,2024-04-07,1,True
SUPP00122,15C,ITEM006,Pencil,사무,21.0,4.3,0.31,2,30,20,1,2024-01-05,0,False
SUPP00123,29B,ITEM019,Flashlight,사무,20.0,4.2,0.44,3,30,20,1,2024-01-29,0,False
SUPP00124,29B,ITEM008,Rice Pack,식량,19.0,4.0,0.17,3,33,20,1,2024-02-17,1,True
SUPP00125,29B,ITEM003,Soap,위생,32.94499170313129,4.159693932938633,0.12,3,42,20,0,2024-01-16,0,False
SUPP00126,19C,ITEM014,Canned Meat,식량,30.0,6.2,0.29,6,40,20,1,2024-06-01,1,True
SUPP00127,15C,ITEM016,Printer Ink,사무,19.0,4.0,0.23,2,28,20,1,2024-03-12,0,False
SUPP00128,19C,ITEM001,Toilet Paper,위생,6.613034057115225,8.695109147305786,0.27,6,87,30,1,2024-01-29,0,False
SUPP00129,21C,ITEM003,Soap,위생,25.780565466198354,3.8180143005198297,0.28,2,25,20,0,2024-06-28,0,False
SUPP00130,19C,ITEM018,Bandage,의료,18.0,3.8,0.26,6,34,10,1,2024-02-15,0,False
SUPP00131,18C,ITEM009,First Aid Kit,의료,18.0,3.7,0.24,5,16,16,1,2024-06-01,1,True
SUPP00132,15C,ITEM006,Pencil,사무,15.0,3.2,0.4,2,24,20,1,2024-01-23,0,False
SUPP00133,31A,ITEM001,Toilet Paper,위생,8.993591431453785,9.988470268772211,0.24,4,64,30,1,2024-06-10,0,False
SUPP00134,15C,ITEM010,Mask,위생,17.0,3.6,0.3,2,25,20,1,2024-04-03,0,False
SUPP00135,33B,ITEM006,Pencil,사무,18.0,3.8,0.23,6,16,20,1,2024-04-23,0,False
SUPP00136,18C,ITEM012,Hand Sanitizer,위생,29.0,6.1,0.36,5,50,20,1,2024-02-03,1,True
SUPP00137,29B,ITEM004,Canned Food,식량,29.0,6.1,0.28,3,40,20,1,2024-06-08,1,True
SUPP00138,33B,ITEM013,Blanket,의복,27.0,5.6,0.34,6,43,20,1,2024-04-26,0,False
SUPP00139,33B,ITEM017,Combat Boots,의복,30.0,6.3,0.12,6,46,20,1,2024-01-29,0,False
SUPP00140,21C,ITEM008,Rice Pack,식량,35.0,7.2,0.23,2,50,20,1,2024-01-09,0,False
SUPP00141,40A,ITEM020,Toothpaste,위생,21.0,4.3,0.32,3,19,20,1,2024-02-08,0,False
SUPP00142,12C,ITEM003,Soap,위생,22.840823177134908,3.9585117965102663,0.35,4,32,20,0,2024-05-14,0,False
SUPP00143,18C,ITEM012,Hand Sanitizer,위생,39.0,8.1,0.27,5,60,20,1,2024-04-19,0,False
SUPP00144,33B,ITEM007,Shirt,의복,22.0,4.5,0.29,6,23,20,1,2024-03-09,1,True
SUPP00145,12C,ITEM012,Hand Sanitizer,위생,22.0,4.6,0.22,4,40,20,1,2024-05-15,0,False
SUPP00146,12C,ITEM002,Medical Gloves,의료,38.30835224867292,2.8432986130091926,0.47,4,23,15,0,2024-04-05,0,False
SUPP00147,18C,ITEM014,Canned Meat,식량,26.0,5.4,0.2,5,46,20,1,2024-04-28,1,True
SUPP00148,40A,ITEM005,Notebook,사무,7.0,1.5,0.29,3,13,20,1,2024-04-27,1,True
SUPP00149,17C,ITEM009,First Aid Kit,의료,32.0,6.7,0.47,4,47,16,1,2024-01-18,0,False
SUPP00150,15A,ITEM011,Glasses,의복,32.0,6.6,0.36,7,46,20,1,2024-04-11,0,False
SUPP00151,31A,ITEM005,Notebook,사무,21.0,4.3,0.21,4,35,20,1,2024-04-19,0,False
SUPP00152,15A,ITEM003,Soap,위생,32.303844734414376,3.513406579530532,0.34,7,31,20,0,2024-03-22,0,False
SUPP00153,15C,ITEM017,Combat Boots,의복,37.0,7.7,0.45,2,49,20,1,2024-06-25,0,False
SUPP00154,29B,ITEM002,Medical Gloves,의료,47.344684163508646,1.2086753401255388,0.3,3,10,15,0,2024-04-14,1,True
SUPP00155,31A,ITEM001,Toilet Paper,위생,7.705765332905317,10.775026174721923,0.2,4,76,30,1,2024-01-16,0,False
SUPP00156,15C,ITEM007,Shirt,의복,15.0,3.1,0.25,2,17,20,1,2024-01-21,1,True
SUPP00157,33B,ITEM014,Canned Meat,식량,28.0,5.8,0.42,6,40,20,1,2024-05-17,0,False
SUPP00158,29B,ITEM005,Notebook,사무,15.0,3.1,0.27,3,18,20,1,2024-04-15,0,False
SUPP00159,36B,ITEM019,Flashlight,사무,30.0,6.3,0.13,2,47,20,1,2024-05-11,1,True
SUPP00160,18C,ITEM011,Glasses,의복,19.0,4.0,0.16,5,15,20,1,2024-02-13,0,False
SUPP00161,31A,ITEM002,Medical Gloves,의료,36.947588432465245,2.2887537114444685,0.35,4,10,15,0,2024-05-02,0,False
SUPP00162,31A,ITEM008,Rice Pack,식량,23.0,4.7,0.45,4,38,20,1,2024-05-15,0,False
SUPP00163,11A,ITEM009,First Aid Kit,의료,14.0,3.0,0.42,6,24,16,1,2024-04-20,1,True
SUPP00164,33B,ITEM003,Soap,위생,34.90856546289451,3.772098238341373,0.14,6,31,20,0,2024-04-26,0,False
SUPP00165,17C,ITEM002,Medical Gloves,의료,43.82947196629598,1.3732463422577155,0.42,4,10,15,0,2024-05-05,1,True
SUPP00166,12C,ITEM007,Shirt,의복,13.0,2.8,0.31,4,16,20,1,2024-01-19,0,False
SUPP00167,29B,ITEM005,Notebook,사무,27.0,5.5,0.15,3,41,20,1,2024-03-04,0,False
SUPP00168,33B,ITEM005,Notebook,사무,18.0,3.7,0.43,6,25,20,1,2024-02-09,0,False
SUPP00169,39C,ITEM020,Toothpaste,위생,22.0,4.5,0.26,5,35,20,1,2024-02-20,0,False
SUPP00170,40A,ITEM013,Blanket,의복,11.0,2.3,0.14,3,14,20,1,2024-05-16,0,False
SUPP00171,12C,ITEM020,Toothpaste,위생,42.0,8.6,0.18,4,58,20,1,2024-06-06,0,False
SUPP00172,18C,ITEM006,Pencil,사무,22.0,4.6,0.37,5,40,20,1,2024-02-25,1,True
SUPP00173,12C,ITEM020,Toothpaste,위생,31.0,6.4,0.12,4,41,20,1,2024-03-21,0,False
SUPP00174,17C,ITEM018,Bandage,의료,19.0,4.0,0.41,4,31,10,1,2024-06-20,0,False
SUPP00175,21C,ITEM002,Medical Gloves,의료,36.14764954351513,1.9946280346580416,0.27,2,34,15,0,2024-05-22,0,False
SUPP00176,11A,ITEM006,Pencil,사무,30.0,6.3,0.1,6,55,20,1,2024-03-10,1,True
SUPP00177,12C,ITEM009,First Aid Kit,의료,6.0,1.4,0.28,4,18,16,1,2024-05-07,0,False
SUPP00178,18C,ITEM003,Soap,위생,33.71888557864355,4.905301439495455,0.48,5,17,20,0,2024-05-05,1,True
SUPP00179,17C,ITEM001,Toilet Paper,위생,13.73490507228185,9.087423532203857,0.38,4,75,30,1,2024-03-01,0,False
SUPP00180,15A,ITEM001,Toilet Paper,위생,12.777676175325501,11.23191110631936,0.19,7,81,30,1,2024-03-20,0,False
SUPP00181,31A,ITEM019,Flashlight,사무,29.0,6.1,0.32,4,39,20,1,2024-04-30,0,False
SUPP00182,21C,ITEM005,Notebook,사무,2.0,0.5,0.43,2,12,20,1,2024-04-10,0,False
SUPP00183,11A,ITEM013,Blanket,의복,19.0,4.0,0.2,6,27,20,1,2024-05-30,0,False
SUPP00184,31A,ITEM019,Flashlight,사무,10.0,2.2,0.28,4,18,20,1,2024-03-17,1,True
SUPP00185,40A,ITEM012,Hand Sanitizer,위생,20.0,4.2,0.44,3,31,20,1,2024-06-23,1,True
SUPP00186,15C,ITEM016,Printer Ink,사무,12.0,2.6,0.48,2,14,20,1,2024-05-24,0,False
SUPP00187,21C,ITEM019,Flashlight,사무,19.0,3.9,0.23,2,25,20,1,2024-05-05,1,True
SUPP00188,21C,ITEM003,Soap,위생,31.756851293892183,3.962155978559437,0.39,2,34,20,0,2024-06-30,1,True
SUPP00189,15A,ITEM012,Hand Sanitizer,위생,27.0,5.5,0.45,7,39,20,1,2024-06-28,0,False
SUPP00190,15A,ITEM005,Notebook,사무,2.0,0.5,0.21,7,10,20,1,2024-01-22,0,False
SUPP00191,29B,ITEM002,Medical Gloves,의료,34.194997543250395,2.524786974826039,0.11,3,11,15,0,2024-03-23,1,True
SUPP00192,19C,ITEM007,Shirt,의복,23.0,4.7,0.17,6,30,20,1,2024-06-15,1,True
SUPP00193,12C,ITEM013,Blanket,의복,22.0,4.6,0.41,4,31,20,1,2024-05-20,0,False
SUPP00194,21C,ITEM015,USB Drive,사무,15.0,3.1,0.33,2,28,20,1,2024-03-18,0,False
SUPP00195,31A,ITEM003,Soap,위생,29.660791096125834,4.025563353914702,0.21,4,48,20,0,2024-04-04,0,False
SUPP00196,18C,ITEM020,Toothpaste,위생,32.0,6.6,0.36,5,45,20,1,2024-04-18,0,False
SUPP00197,18A,ITEM005,Notebook,사무,2.0,0.5,0.14,5,12,20,1,2024-04-19,0,False
SUPP00198,19C,ITEM008,Rice Pack,식량,19.0,4.0,0.3,6,29,20,1,2024-02-21,0,False
SUPP00199,18A,ITEM001,Toilet Paper,위생,9.253587312155469,8.252103545042672,0.36,5,52,30,1,2024-04-12,0,False
SUPP00200,11A,ITEM008,Rice Pack,식량,21.0,4.3,0.41,6,20,20,1,2024-04-10,0,False
SUPP00201,17C,ITEM018,Bandage,의료,17.0,3.6,0.31,4,20,10,1,2024-05-21,0,False
SUPP00202,31A,ITEM020,Toothpaste,위생,13.0,2.7,0.15,4,24,20,1,2024-03-03,1,True
SUPP00203,31A,ITEM016,Printer Ink,사무,22.0,4.5,0.38,4,34,20,1,2024-01-28,1,True
SUPP00204,19C,ITEM018,Bandage,의료,24.0,5.0,0.14,6,43,10,1,2024-02-15,0,False
SUPP00205,21C,ITEM020,Toothpaste,위생,23.0,4.7,0.3,2,41,20,1,2024-01-28,1,True
SUPP00206,40A,ITEM012,Hand Sanitizer,위생,22.0,4.5,0.29,3,28,20,1,2024-01-02,0,False
SUPP00207,19C,ITEM013,Blanket,의복,35.0,7.3,0.46,6,56,20,1,2024-05-06,0,False
SUPP00208,18A,ITEM013,Blanket,의복,27.0,5.5,0.33,5,33,20,1,2024-01-17,0,False
SUPP00209,19C,ITEM010,Mask,위생,29.0,6.0,0.22,6,34,20,1,2024-02-28,0,False
SUPP00210,31A,ITEM007,Shirt,의복,25.0,5.2,0.3,4,37,20,1,2024-06-28,0,False
SUPP00211,40A,ITEM014,Canned Meat,식량,31.0,6.5,0.31,3,49,20,1,2024-05-11,1,True
SUPP00212,12C,ITEM016,Printer Ink,사무,22.0,4.6,0.34,4,33,20,1,2024-03-17,1,True
SUPP00213,39C,ITEM015,USB Drive,사무,10.0,2.2,0.23,5,20,20,1,2024-05-10,0,False
SUPP00214,29B,ITEM012,Hand Sanitizer,위생,21.0,4.4,0.47,3,27,20,1,2024-04-24,0,False
SUPP00215,36B,ITEM009,First Aid Kit,의료,25.0,5.2,0.34,2,41,16,1,2024-06-13,0,False
SUPP00216,15A,ITEM008,Rice Pack,식량,31.0,6.5,0.34,7,42,20,1,2024-04-06,1,True
SUPP00217,19C,ITEM018,Bandage,의료,21.0,4.4,0.15,6,42,10,1,2024-04-14,1,True
SUPP00218,11A,ITEM018,Bandage,의료,24.0,4.9,0.27,6,38,10,1,2024-01-24,0,False
SUPP00219,15C,ITEM013,Blanket,의복,25.0,5.2,0.22,2,44,20,1,2024-02-04,1,True
SUPP00220,17C,ITEM018,Bandage,의료,20.0,4.1,0.27,4,22,10,1,2024-01-02,0,False
SUPP00221,39C,ITEM015,USB Drive,사무,20.0,4.2,0.46,5,27,20,1,2024-02-02,0,False
SUPP00222,29B,ITEM004,Canned Food,식량,34.0,7.0,0.25,3,48,20,1,2024-03-16,1,True
SUPP00223,29B,ITEM017,Combat Boots,의복,28.0,5.7,0.3,3,34,20,1,2024-03-26,0,False
SUPP00224,29B,ITEM005,Notebook,사무,2.0,0.5,0.45,3,11,20,1,2024-05-17,0,False
SUPP00225,29B,ITEM016,Printer Ink,사무,35.0,7.2,0.47,3,50,20,1,2024-03-21,0,False
SUPP00226,18A,ITEM009,First Aid Kit,의료,14.0,3.0,0.39,5,13,16,1,2024-03-02,1,True
SUPP00227,11A,ITEM010,Mask,위생,16.0,3.3,0.45,6,20,20,1,2024-02-12,0,False
SUPP00228,11A,ITEM018,Bandage,의료,31.0,6.5,0.4,6,39,10,1,2024-04-30,0,False
SUPP00229,40A,ITEM017,Combat Boots,의복,35.0,7.3,0.3,3,54,20,1,2024-02-28,0,False
SUPP00230,15A,ITEM018,Bandage,의료,47.0,9.7,0.46,7,70,10,1,2024-01-09,0,False
SUPP00231,31A,ITEM007,Shirt,의복,22.0,4.6,0.27,4,35,20,1,2024-03-17,1,True
SUPP00232,29B,ITEM004,Canned Food,식량,32.0,6.7,0.14,3,51,20,1,2024-03-03,1,True
SUPP00233,15C,ITEM005,Notebook,사무,8.0,1.8,0.22,2,23,20,1,2024-02-21,0,False
SUPP00234,31A,ITEM016,Printer Ink,사무,43.0,8.8,0.37,4,70,20,1,2024-01-23,0,False
SUPP00235,11A,ITEM003,Soap,위생,28.128210356648033,3.646609330424437,0.41,6,24,20,0,2024-01-30,0,False
SUPP00236,18C,ITEM018,Bandage,의료,15.0,3.1,0.45,5,32,10,1,2024-06-19,0,False
SUPP00237,18C,ITEM014,Canned Meat,식량,21.0,4.4,0.12,5,29,20,1,2024-01-21,1,True
SUPP00238,15C,ITEM015,USB Drive,사무,17.0,3.5,0.49,2,25,20,1,2024-02-12,0,False
SUPP00239,40A,ITEM017,Combat Boots,의복,20.0,4.1,0.35,3,29,20,1,2024-05-14,0,False
