soldier_id,unit_code,region,lat,lon,rank,facility_type,facility_usage,usage_frequency_per_week,satisfaction_score,distance_to_facility,has_private_space,mental_wellbeing_score,date,facility_access_score,expected_mental_score,mental_gap_score,expected_mental_score_adj,expected_mental_score_v4
S20240700022,15사단,영남권,37.611948,127.546467,이병,체력단련실,1,1,6,218.6,격리형,3,2024-10-04,-118.6,0.04,1.104149443738446,0.54,0.44
S20240700023,12사단,전라권,38.434108,129.375729,일병,상담실,1,1,1,369.3,격리형,3,2024-07-12,-269.3,-6.23,8.48868115484176,-6.23,-5.48868115484176
S20240700024,18사단,강원권,38.047002,128.416774,이병,독서실,0,4,2,430.5,침상형,1,2024-09-10,-330.5,-7.26,0.8234926004405714,-7.26,-7.61
S20240700025,22사단,전라권,36.197532,126.670688,일병,노래방,0,4,2,446.0,침상형,1,2024-11-10,-346.0,-7.65,1.3679983996294056,-7.65,-7.29318764143185
S20240700026,24사단,영남권,37.647378,127.066062,상병,상담실,0,2,3,477.3,침상형,1,2024-10-14,-377.3,-7.93,0.6038627161911863,-7.93,-7.515294640236517
S20240700027,16사단,전라권,37.340463,128.847397,일병,상담실,0,2,4,412.6,침상형,1,2024-10-25,-312.6,-5.82,1.4048736540215496,-5.32,-4.5033480620720026
S20240700028,12사단,강원권,37.08958,129.088297,일병,상담실,0,2,4,341.4,침상형,2,2024-12-24,-241.4,-4.03,0.0645769769513232,-3.53,-4.04
S20240700029,22사단,충청권,37.744784,127.810533,이병,노래방,1,1,4,273.7,격리형,1,2024-07-26,-173.7,-2.34,1.4718778639657923,-1.84,-1.00131161891002
S20240700030,15사단,전라권,36.288897,127.819361,상병,독서실,1,4,4,317.1,침상형,1,2024-11-10,-217.1,-3.43,0.027741060750966273,-2.93,-2.381225423003274
S20240700031,11사단,수도권,36.341926,128.175662,상병,노래방,0,3,5,394.8,침상형,1,2024-07-22,-294.8,-4.87,0.6576929991570308,-3.87,-3.599960014128391
S20240700032,22사단,강원권,38.324267,128.855467,이병,상담실,0,2,5,233.9,격리형,2,2024-07-13,-133.9,-0.85,1.6636389009403727,0.15,0.3363610990596273
S20240700033,20사단,수도권,36.040505,129.401432,병장,체력단련실,1,4,4,342.8,격리형,3,2024-12-03,-242.8,-4.07,0.10067702212603036,-3.5700000000000003,-3.04258572305382
S20240700034,16사단,영남권,36.262774,128.341137,이병,독서실,0,2,3,294.3,침상형,2,2024-12-08,-194.3,-3.36,0.9979690605748578,-3.36,-2.310584653232556
S20240700035,23사단,영남권,37.527169,127.632071,병장,상담실,0,4,4,228.4,침상형,2,2024-10-15,-128.4,-1.21,1.339349587157736,-0.2099999999999999,-1.02
S20240700036,22사단,강원권,37.353646,127.171003,일병,독서실,0,2,3,188.3,격리형,4,2024-07-23,-88.30000000000001,-0.71,0.31747674070435633,-0.71,-0.55
S20240700037,19사단,강원권,36.475611,126.529698,일병,체력단련실,1,4,2,136.4,침상형,2,2024-10-05,-36.400000000000006,0.09,1.77,0.09,0.23
S20240700038,11사단,영남권,36.554945,127.480583,상병,상담실,1,3,3,438.0,침상형,1,2024-07-18,-338.0,-6.95,1.4222426333425546,-6.95,-6.4853730272192855
S20240700039,21사단,수도권,38.031565,126.889135,일병,PX,1,2,2,462.1,격리형,1,2024-10-25,-362.1,-8.05,0.0776135464938651,-8.05,-8.46
S20240700040,21사단,영남권,35.785658,129.448684,상병,독서실,0,4,1,128.9,격리형,3,2024-07-30,-28.90000000000001,-0.22,1.6757986773550628,-0.22,1.3242013226449372
S20240700041,25사단,충청권,37.561499,126.776533,상병,체력단련실,1,3,4,261.0,격리형,3,2024-07-26,-161.0,-2.03,0.045982973709108754,-1.5299999999999998,-0.8846721043372334
S20240700042,20사단,수도권,36.935585,127.961489,이병,체력단련실,1,1,5,258.5,격리형,1,2024-11-21,-158.5,-1.46,0.7562612736557193,-0.4599999999999999,0.2437387263442807
S20240700043,22사단,강원권,37.066015,128.917654,이병,독서실,0,0,1,338.5,격리형,2,2024-08-08,-238.5,-5.46,0.950646127015156,-5.46,-5.76
S20240700044,22사단,충청권,36.17507,129.328648,상병,노래방,1,4,4,215.8,격리형,2,2024-12-08,-115.8,-0.9,1.4717140276876632,0.0999999999999999,0.5282859723123368
S20240700045,25사단,강원권,37.795279,128.824629,병장,체력단련실,1,5,1,199.3,침상형,2,2024-12-01,-99.3,-1.98,1.4748143469095385,-1.98,-0.6066634179984518
S20240700046,24사단,영남권,36.986675,126.651882,병장,노래방,0,3,4,164.6,침상형,2,2024-12-23,-64.6,0.39,1.3199999999999998,0.89,0.68
S20240700047,24사단,충청권,37.57587,127.03224,일병,PX,1,2,1,361.8,격리형,3,2024-12-13,-261.8,-6.04,1.054643549222496,-6.04,-5.636558323346603
S20240700048,25사단,수도권,37.446441,128.929904,상병,PX,0,2,2,402.6,침상형,2,2024-11-07,-302.6,-6.56,1.109530264745755,-6.56,-6.87
S20240700049,24사단,영남권,37.03596,127.031264,상병,체력단련실,1,3,5,345.7,침상형,1,2024-10-21,-245.7,-3.64,1.1369153575661666,-2.64,-2.081369942194171
S20240700050,13사단,수도권,36.792264,126.999185,병장,노래방,1,5,1,495.3,침상형,1,2024-11-11,-395.3,-9.38,0.37462316279484903,-9.38,-8.914357303803046
S20240700051,22사단,수도권,36.294998,127.218736,상병,노래방,0,3,5,149.9,침상형,1,2024-08-15,-49.900000000000006,1.25,-0.6699999999999999,1.75,1.67
S20240700052,17사단,영남권,38.132194,128.720064,상병,PX,1,4,1,113.3,침상형,2,2024-08-19,-13.299999999999995,0.17,1.75,0.17,0.25
S20240700053,14사단,수도권,37.960882,128.290327,일병,상담실,0,1,1,398.2,침상형,1,2024-12-13,-298.2,-6.96,0.4903020105221314,-6.96,-6.540613259596979
S20240700054,19사단,수도권,38.071132,128.200236,병장,독서실,0,3,2,452.1,침상형,2,2024-10-14,-352.1,-7.8,0.00749505835294878,-7.8,-6.953065376222951
S20240700055,13사단,수도권,38.402973,127.182139,일병,독서실,1,3,3,315.6,격리형,3,2024-11-23,-215.6,-3.89,5.639908073226294,-3.89,-2.6399080732262936
S20240700056,15사단,수도권,36.462404,127.270146,병장,독서실,0,3,5,230.3,침상형,2,2024-12-02,-130.3,-0.76,1.250292088965921,-0.26,0.749707911034079
S20240700057,13사단,영남권,37.966318,128.099331,일병,독서실,0,1,1,471.3,침상형,1,2024-12-16,-371.3,-8.78,1.359399741446499,-8.78,-9.3
S20240700058,17사단,강원권,37.171638,129.19387,일병,노래방,1,1,2,271.0,침상형,2,2024-09-10,-171.0,-3.28,0.7306989464611611,-3.28,-2.227943056733923
S20240700059,15사단,영남권,38.133895,127.403638,상병,PX,1,2,1,255.5,침상형,2,2024-09-12,-155.5,-3.39,0.779717196491474,-3.39,-3.55
S20240700060,19사단,영남권,36.61541,128.224464,이병,상담실,1,3,1,324.6,침상형,1,2024-07-17,-224.6,-5.12,1.0718242111120726,-5.12,-4.036887628800092
S20240700061,17사단,영남권,37.782809,128.443419,이병,상담실,0,3,4,486.8,격리형,2,2024-12-04,-386.8,-7.67,0.4881466942248869,-7.17,-6.661116868190571
S20240700062,12사단,전라권,36.610446,128.706596,일병,노래방,0,1,1,182.4,침상형,2,2024-09-08,-82.4,-1.56,0.2868333688724381,-1.56,-0.4051673872788472
S20240700063,14사단,충청권,37.553583,127.727963,이병,체력단련실,1,0,3,449.4,격리형,3,2024-11-27,-349.4,-7.24,0.06530045662718936,-7.24,-6.566520140195788
S20240700064,19사단,전라권,37.03602,128.689362,이병,상담실,0,1,2,435.4,침상형,1,2024-07-06,-335.4,-7.38,1.4318958875400276,-7.38,-6.3380887188654045
S20240700065,22사단,전라권,35.93812,127.625429,상병,독서실,0,2,6,418.1,격리형,6,2024-07-26,-318.1,-4.95,0.43317452125638267,-4.45,-3.62652951775465
S20240700066,24사단,영남권,36.058483,127.062843,상병,상담실,0,4,5,452.2,침상형,4,2024-12-14,-352.2,-6.3,0.8149736144779156,-5.8,-4.970410162910689
S20240700067,12사단,수도권,38.490319,128.843009,상병,체력단련실,1,3,4,374.6,침상형,1,2024-11-17,-274.6,-4.86,0.39094397904134026,-4.36,-4.92
S20240700068,20사단,전라권,35.80158,129.062499,병장,체력단련실,1,3,2,212.2,격리형,1,2024-10-07,-112.2,-1.8,1.6050953309136484,-1.8,-0.6050953309136484
S20240700069,19사단,영남권,37.814554,126.987393,상병,체력단련실,0,4,4,301.5,침상형,1,2024-11-19,-201.5,-3.04,0.23414013357398666,-2.54,-1.6301160197951197
S20240700070,20사단,강원권,38.496243,126.609704,상병,PX,1,2,2,290.6,침상형,3,2024-07-22,-190.6,-3.77,1.484638323467207,-3.77,-3.88
S20240700071,15사단,충청권,37.323015,128.592348,일병,독서실,0,2,1,289.2,침상형,1,2024-08-20,-189.2,-4.23,4.042450343735215,-4.23,-3.042450343735215
S20240700072,12사단,충청권,38.25991,127.953788,이병,상담실,0,0,4,274.8,격리형,1,2024-11-28,-174.8,-2.37,2.126690608586696,-1.37,-1.126690608586696
S20240700073,14사단,충청권,38.406783,127.060073,병장,노래방,0,2,3,210.8,격리형,1,2024-12-23,-110.8,-1.27,0.8779555162000117,-1.27,0.1220444837999883
S20240700074,22사단,영남권,36.825526,128.098853,일병,체력단련실,1,1,3,453.9,격리형,2,2024-10-12,-353.9,-7.35,0.4240279856246203,-7.35,-7.64
S20240700075,25사단,영남권,36.224549,127.049698,이병,체력단련실,0,1,4,101.2,격리형,5,2024-12-25,-1.2000000000000028,1.97,1.4688044745247617,2.97,3.5311955254752383
S20240700076,22사단,강원권,37.616904,127.880486,병장,상담실,0,3,4,361.8,격리형,1,2024-09-27,-261.8,-4.54,0.7847961368855776,-4.04,-3.303508747672073
S20240700077,17사단,충청권,38.227378,128.024182,상병,노래방,1,3,5,329.4,격리형,9,2024-11-18,-229.4,-3.23,1.4502169046451567,-2.23,-3.12
S20240700078,22사단,강원권,38.165919,127.937813,이병,노래방,0,1,5,393.9,격리형,1,2024-11-15,-293.9,-4.85,1.4379663601492045,-3.85,-3.7217123152920335
S20240700079,23사단,충청권,38.323159,129.261431,상병,노래방,1,1,3,319.1,침상형,1,2024-12-30,-219.1,-3.98,0.14641980541421634,-3.98,-2.6999703080784445
S20240700080,18사단,영남권,36.84495,128.89858,병장,독서실,0,4,6,231.1,격리형,1,2024-07-09,-131.1,-0.28,0.9,0.72,0.1
S20240700081,25사단,전라권,35.896829,127.928008,병장,상담실,0,2,1,118.8,침상형,2,2024-09-17,-18.8,0.03,1.9,0.03,0.1
S20240700082,13사단,충청권,36.287124,128.155467,일병,PX,1,0,4,384.3,격리형,2,2024-08-21,-284.3,-5.11,1.4925308365131449,-4.61,-3.83414554333708
S20240700083,24사단,수도권,36.876843,126.670891,병장,노래방,1,5,5,327.9,격리형,1,2024-11-07,-227.9,-3.2,1.4621608520166574,-2.2,-2.3427902908245013
S20240700084,11사단,충청권,36.791013,129.33433,일병,PX,1,1,6,436.3,침상형,2,2024-11-30,-336.3,-5.41,1.035686489983563,-4.91,-5.37
S20240700085,14사단,강원권,38.145553,127.376206,상병,체력단련실,1,3,5,491.6,침상형,1,2024-07-13,-391.6,-7.29,7.577087364353778,-6.29,-6.577087364353778
S20240700086,12사단,전라권,35.809528,129.2558,병장,PX,1,3,1,367.2,침상형,1,2024-08-20,-267.2,-6.18,1.1599150604974284,-6.18,-5.675189666403185
S20240700087,18사단,수도권,36.186558,126.792446,병장,PX,0,2,1,279.6,격리형,3,2024-08-03,-179.60000000000002,-3.99,7.19,-3.99,-4.19
S20240700088,14사단,충청권,37.313493,128.625225,이병,상담실,0,0,5,113.4,격리형,3,2024-08-04,-13.400000000000006,2.16,0.3599999999999999,2.66,2.64
S20240700089,12사단,강원권,38.134312,127.708585,이병,상담실,1,2,4,478.6,침상형,2,2024-11-08,-378.6,-7.46,0.5514349773237814,-6.96,-6.742066592053293
S20240700090,24사단,전라권,37.604077,128.823147,일병,상담실,0,1,1,344.5,침상형,2,2024-10-28,-244.5,-5.61,0.05504786659785116,-5.61,-4.838908735340743
S20240700091,16사단,충청권,35.550452,126.714036,병장,PX,1,5,1,105.3,침상형,2,2024-09-08,-5.299999999999997,0.37,1.54,0.37,0.46
S20240700092,16사단,강원권,36.581079,128.070237,이병,노래방,0,0,5,111.0,격리형,2,2024-12-23,-11.0,2.22,-0.71,2.72,2.71
S20240700093,20사단,영남권,36.656616,127.457597,병장,독서실,0,5,1,386.3,침상형,1,2024-11-24,-286.3,-6.66,1.2376076468988728,-6.66,-7.03
S20240700094,14사단,영남권,37.558163,126.79717,일병,체력단련실,1,0,1,356.3,침상형,1,2024-09-05,-256.3,-5.91,0.7841261863418861,-5.91,-6.23
S20240700095,16사단,전라권,37.907712,128.613098,병장,PX,1,4,2,106.8,격리형,2,2024-10-11,-6.799999999999997,0.83,0.98,0.83,1.02
S20240700096,23사단,수도권,35.527582,127.08857,상병,독서실,0,2,5,223.3,격리형,2,2024-09-11,-123.3,-0.58,0.8774062715953567,-0.0799999999999999,-0.29
S20240700097,25사단,충청권,38.074558,128.856499,일병,상담실,1,0,2,425.4,격리형,1,2024-10-24,-325.4,-7.14,0.12566061344448376,-7.14,-6.191975861743422
S20240700098,12사단,충청권,37.674663,128.398722,이병,노래방,0,1,4,387.7,침상형,1,2024-11-10,-287.7,-5.19,1.0520948968477217,-4.69,-4.3295619047645095
S20240700099,20사단,수도권,36.964652,129.305759,상병,PX,1,3,3,222.3,격리형,2,2024-09-05,-122.3,-1.56,2.2390236783842448,-1.56,-0.2390236783842447
S20240700100,22사단,충청권,35.827614,127.041099,일병,PX,1,2,6,286.6,침상형,2,2024-11-16,-186.6,-1.67,1.9910321078646205,-0.6699999999999999,0.0089678921353795
S20240700101,12사단,전라권,35.522765,127.548457,병장,체력단련실,1,3,3,143.2,격리형,3,2024-10-29,-43.19999999999999,0.42,1.2919956351712796,0.42,1.7080043648287204
S20240700102,20사단,전라권,38.150467,128.094571,이병,PX,0,2,1,401.6,침상형,1,2024-10-02,-301.6,-7.04,1.2838284438111804,-7.04,-6.214150528538678
S20240700103,24사단,강원권,36.77012,127.790412,일병,체력단련실,1,3,5,141.4,침상형,2,2024-11-06,-41.400000000000006,1.46,0.1,1.96,1.9
S20240700104,14사단,수도권,36.973293,127.128916,이병,상담실,0,3,5,340.2,격리형,3,2024-09-29,-240.2,-3.5,0.5983056438744212,-2.5,-3.41
S20240700105,24사단,강원권,38.414321,129.404977,병장,독서실,0,3,2,186.6,격리형,1,2024-09-30,-86.6,-1.16,0.7318657499436827,-1.16,0.2681342500563173
S20240700106,25사단,강원권,37.998442,127.96432,일병,독서실,0,2,4,277.9,격리형,1,2024-09-01,-177.89999999999998,-2.45,2.060076930315658,-1.4500000000000002,-1.060076930315658
S20240700107,25사단,영남권,36.001425,127.49017,이병,PX,0,1,2,295.5,침상형,2,2024-07-29,-195.5,-3.89,0.16618635012236382,-3.89,-3.2272593527501217
S20240700108,18사단,충청권,37.12405,127.579636,상병,독서실,0,3,2,243.8,침상형,2,2024-07-12,-143.8,-2.6,0.04242015617129119,-2.6,-1.8086327142080896
S20240700109,24사단,수도권,37.457799,128.495612,이병,체력단련실,1,2,1,174.3,침상형,1,2024-09-15,-74.30000000000001,-1.36,1.0976884589135973,-1.36,-1.38
S20240700110,17사단,수도권,37.340154,128.832482,상병,체력단련실,1,3,3,300.6,격리형,1,2024-08-10,-200.6,-3.52,0.18720461664893817,-3.52,-2.7842458704449986
S20240700111,22사단,강원권,36.965157,126.895217,일병,PX,1,1,3,264.1,침상형,4,2024-11-07,-164.10000000000002,-2.6,0.1835502241395327,-2.6,-2.58
S20240700112,19사단,전라권,35.621352,126.729505,병장,독서실,1,4,2,228.8,침상형,1,2024-08-06,-128.8,-2.22,0.04204984109386162,-2.22,-2.23
S20240700113,24사단,강원권,38.173,128.411209,병장,노래방,0,4,5,491.9,침상형,3,2024-12-20,-391.9,-7.3,0.5543733998570702,-6.8,-6.524194635881598
S20240700114,18사단,전라권,37.232037,128.806176,병장,상담실,0,4,1,464.2,침상형,3,2024-12-23,-364.2,-8.6,1.1937965474547951,-8.6,-8.406820740534439
S20240700115,15사단,강원권,37.142851,126.511465,상병,독서실,1,4,1,255.8,침상형,10,2024-07-24,-155.8,-3.4,0.10409145816619658,-3.4,-3.55
S20240700116,23사단,강원권,37.675205,126.554413,일병,PX,1,4,2,313.0,침상형,1,2024-10-07,-213.0,-4.32,0.5070786815016765,-4.32,-3.292269987891561
S20240700117,12사단,수도권,36.059885,127.730132,이병,독서실,0,2,5,244.3,격리형,2,2024-11-27,-144.3,-1.11,0.26308380157965594,-0.6100000000000001,-0.85
S20240700118,25사단,충청권,36.732701,127.846135,병장,체력단련실,1,2,1,219.1,격리형,2,2024-10-08,-119.1,-2.48,1.4243781400839828,-2.48,-1.8587748129480173
S20240700119,15사단,영남권,37.46119,127.616795,상병,PX,1,3,1,425.2,침상형,1,2024-11-16,-325.2,-7.63,1.0312245225967018,-7.63,-7.010978532296905
S20240700120,18사단,수도권,38.204415,126.585245,병장,노래방,0,2,2,312.5,격리형,3,2024-08-27,-212.5,-4.31,1.0851725736867972,-4.31,-3.375060947362023
S20240700121,20사단,영남권,36.638662,127.021421,병장,노래방,0,5,3,496.0,침상형,1,2024-12-21,-396.0,-8.4,0.1736392850678808,-8.4,-7.54363216047169
S20240700122,19사단,강원권,37.273929,128.701752,일병,상담실,0,1,5,174.4,침상형,1,2024-07-29,-74.4,0.64,-0.02,1.64,1.02
S20240700123,22사단,영남권,35.563243,128.836891,상병,체력단련실,0,4,4,155.4,침상형,1,2024-12-10,-55.400000000000006,0.61,0.0799999999999999,1.11,0.92
S20240700124,22사단,수도권,35.932381,128.117126,병장,PX,0,4,4,172.4,격리형,1,2024-11-20,-72.4,0.19,0.53,1.19,0.47
S20240700125,22사단,강원권,35.984241,127.440511,이병,독서실,0,2,2,142.6,격리형,3,2024-08-29,-42.6,-0.06,0.2797335735045315,-0.06,0.06
S20240700126,23사단,전라권,36.738739,128.191862,일병,독서실,0,0,5,457.7,침상형,2,2024-10-03,-357.7,-6.44,8.54,-5.94,-6.54
S20240700127,19사단,충청권,37.286353,128.247382,병장,상담실,0,3,4,263.3,격리형,2,2024-08-11,-163.3,-2.08,0.26800581193412626,-1.58,-1.0585196806128327
S20240700128,23사단,강원권,36.89641,128.077497,상병,체력단련실,0,2,4,161.8,침상형,2,2024-08-12,-61.80000000000001,0.45,1.25,0.95,0.75
S20240700129,25사단,영남권,38.343442,128.803597,병장,PX,0,3,4,191.2,격리형,1,2024-09-12,-91.2,-0.28,1.03,0.2199999999999999,-0.03
S20240700130,23사단,영남권,37.064142,128.035854,이병,노래방,0,2,2,479.5,침상형,1,2024-12-24,-379.5,-8.49,0.8771369317457686,-8.49,-7.525772163290232
S20240700131,11사단,수도권,37.757825,127.018862,이병,PX,0,1,1,272.0,격리형,3,2024-12-07,-172.0,-3.8,0.42575918846459243,-3.8,-2.886617203823637
S20240700132,19사단,수도권,36.638467,127.435648,일병,노래방,1,2,3,123.1,격리형,1,2024-09-02,-23.099999999999994,0.92,-0.1799999999999999,0.92,1.18
S20240700133,17사단,수도권,36.881134,126.594521,상병,노래방,0,3,5,117.4,격리형,2,2024-07-02,-17.400000000000006,2.06,-0.54,3.06,2.54
S20240700134,19사단,영남권,35.864811,128.941273,이병,PX,1,2,4,473.4,격리형,2,2024-11-29,-373.4,-7.33,8.307885903688536,-6.83,-6.307885903688536
S20240700135,18사단,영남권,35.970021,127.540293,일병,PX,0,1,4,439.0,격리형,3,2024-09-04,-339.0,-6.48,0.4675224788938318,-5.48,-5.663103530699249
S20240700136,11사단,영남권,37.63494,126.584479,이병,노래방,0,2,3,385.6,침상형,1,2024-12-13,-285.6,-5.64,0.6170779544829964,-5.64,-4.906408274073905
S20240700137,22사단,강원권,36.297666,127.260104,상병,독서실,0,4,4,409.8,격리형,3,2024-07-31,-309.8,-5.74,0.0005294627076397052,-5.24,-4.692780178694351
S20240700138,18사단,전라권,35.992447,128.924052,병장,PX,0,3,2,131.5,격리형,3,2024-10-23,-31.5,0.21,1.2238049415976833,0.21,1.7761950584023167
S20240700139,18사단,충청권,36.34945,127.283309,상병,체력단련실,1,4,3,100.7,침상형,2,2024-07-26,-0.7000000000000028,1.48,0.2199999999999999,1.48,1.78
S20240700140,25사단,수도권,37.085241,128.392493,이병,상담실,1,1,5,180.0,격리형,5,2024-07-29,-80.0,0.5,0.04640598407599611,1.0,2.1437995132978664
S20240700141,21사단,강원권,38.378255,127.445041,이병,체력단련실,1,1,3,342.7,침상형,2,2024-09-16,-242.7,-4.57,1.4624398444604523,-4.57,-3.410956958844429
S20240700142,13사단,강원권,38.447373,128.932289,상병,독서실,0,3,4,106.0,침상형,1,2024-07-25,-6.0,1.85,-1.2400000000000002,2.35,2.24
S20240700143,11사단,충청권,36.062377,127.149793,이병,PX,1,3,2,300.4,침상형,1,2024-08-17,-200.4,-4.01,0.5376016170219211,-4.01,-3.044873077214215
S20240700144,18사단,전라권,38.133338,129.108726,상병,상담실,0,4,7,201.4,격리형,3,2024-09-03,-101.4,0.96,1.5,1.96,1.5
S20240700145,13사단,수도권,37.005558,128.297651,일병,노래방,1,0,5,431.8,격리형,2,2024-12-28,-331.8,-5.8,1.186422815497105,-4.8,-5.85
S20240700146,13사단,영남권,37.9803,128.418212,병장,PX,1,2,4,458.8,격리형,2,2024-09-05,-358.8,-6.97,0.4538035414093847,-6.47,-6.464460203429828
S20240700147,11사단,전라권,37.554327,128.173134,이병,노래방,1,1,5,207.3,침상형,2,2024-09-28,-107.3,-0.18,1.86,0.8200000000000001,0.14
S20240700148,21사단,강원권,35.732952,128.749165,병장,노래방,0,3,5,401.6,침상형,5,2024-11-23,-301.6,-5.04,1.467599936947578,-4.54,-3.6370622914171
S20240700149,15사단,수도권,38.342945,128.259179,병장,체력단련실,0,4,3,204.9,격리형,8,2024-11-14,-104.9,-1.12,0.32828842834597083,-1.12,-0.1070928893222207
S20240700150,20사단,영남권,36.031523,127.74176,일병,PX,1,2,4,298.6,침상형,1,2024-08-07,-198.6,-2.97,0.24048822371197742,-1.97,-1.8207289710317929
S20240700151,17사단,영남권,36.414446,127.14294,이병,독서실,1,1,1,285.4,격리형,1,2024-09-25,-185.4,-4.14,0.32531441492540564,-4.14,-3.4856963999316264
S20240700152,20사단,영남권,36.489877,129.020453,병장,노래방,0,5,4,191.4,침상형,3,2024-11-26,-91.4,-0.29,1.6888325565587812,0.21,1.3111674434412188
S20240700153,19사단,충청권,36.968022,129.191646,병장,PX,0,4,4,259.8,침상형,1,2024-09-03,-159.8,-2.0,1.455420227980329,-1.5,-1.1330632987697626
S20240700154,22사단,전라권,36.513127,128.77143,상병,PX,0,4,3,252.7,격리형,2,2024-11-26,-152.7,-2.32,0.3899995661641428,-2.32,-1.0449056333906357
S20240700155,17사단,영남권,37.679393,128.502556,일병,상담실,1,1,3,368.9,격리형,1,2024-07-27,-268.9,-5.22,0.9297295528887454,-5.22,-4.631118953367803
S20240700156,19사단,수도권,37.949667,127.443676,일병,체력단련실,1,2,4,192.4,격리형,3,2024-10-14,-92.4,-0.31,1.625416268666848,0.19,1.374583731333152
S20240700157,18사단,강원권,37.250301,127.583166,병장,PX,1,3,4,116.0,침상형,1,2024-10-31,-16.0,1.6,-0.97,2.6,1.97
S20240700158,22사단,강원권,37.017712,127.908835,병장,노래방,0,4,4,421.5,침상형,8,2024-08-13,-321.5,-6.04,13.426039321137928,-5.54,-5.426039321137928
S20240700159,12사단,강원권,38.008601,126.575467,일병,독서실,0,2,7,308.8,격리형,2,2024-10-08,-208.8,-1.72,0.18495674532380663,-1.22,-1.37
S20240700160,11사단,강원권,36.620477,128.550383,상병,노래방,1,4,5,345.7,격리형,1,2024-07-28,-245.7,-3.64,4.55,-3.14,-3.55
S20240700161,17사단,강원권,35.661739,128.283413,이병,체력단련실,0,3,5,313.2,격리형,1,2024-12-20,-213.2,-2.83,2.278168989219645,-2.33,-1.2781689892196446
